,0,1,2,3,4,0
0.001,0.418914023,0.416106748,0.415523714,0.424042126,0.42927488,0.420772298
0.002,0.431660818,0.414555939,0.418208887,0.420876949,0.433471108,0.42375474
0.003,0.421541995,0.414695591,0.416356926,0.435075461,0.429647143,0.423463423
0.004,0.425090858,0.418565221,0.415579953,0.426740397,0.428908584,0.422977003
0.005,0.425510017,0.420717566,0.412936776,0.43092374,0.42646276,0.423310172
0.006,0.423397259,0.411600586,0.410242633,0.430685898,0.422187801,0.419622835
0.007,0.423998356,0.405538617,0.411871839,0.422727614,0.413754579,0.415578201
0.008,0.443240996,0.402681116,0.413210278,0.418814714,0.410489103,0.417687241
0.009,0.443328998,0.399831907,0.40975343,0.421134175,0.413056158,0.417420933
0.01,0.442729451,0.402498806,0.412601875,0.42337197,0.423273858,0.420895192
0.011,0.441117828,0.402710557,0.414906429,0.422278099,0.421253666,0.420453316
0.012,0.436119656,0.405664458,0.417578653,0.417884237,0.426251901,0.420699781
0.013,0.429871082,0.407143882,0.415859791,0.433466327,0.42471699,0.422211614
0.014,0.429582868,0.406371703,0.417294416,0.433466327,0.426279759,0.422599015
0.015,0.442618966,0.406371703,0.419908468,0.432268807,0.431885171,0.426610623
0.016,0.439919459,0.413045874,0.419908468,0.432268807,0.42030183,0.425088888
0.017,0.439919459,0.414525847,0.417686898,0.432268807,0.42068925,0.425018052
0.018,0.439919459,0.417045106,0.413588777,0.433306236,0.42068925,0.424909766
0.019,0.438591657,0.425309229,0.41097811,0.42768753,0.421572817,0.424827868
0.02,0.441283883,0.423328948,0.41216458,0.428213798,0.426957339,0.42638971
0.021,0.441283883,0.422581529,0.423059613,0.428213798,0.426957339,0.428419232
0.022,0.441283883,0.423437509,0.413699431,0.428213798,0.426957339,0.426718392
0.023,0.439448544,0.426111395,0.419498858,0.417132623,0.436422472,0.427722778
0.024,0.438207367,0.430157278,0.419498858,0.417132623,0.438715882,0.428742402
0.025,0.439121307,0.430157278,0.419498858,0.417132623,0.438715882,0.42892519
0.026,0.439121307,0.421291463,0.419894592,0.417132623,0.438715882,0.427231173
0.027,0.438316264,0.421291463,0.419894592,0.417132623,0.438715882,0.427070165
0.028,0.438316264,0.431161049,0.432297882,0.416420715,0.438715882,0.431382358
0.029,0.444192779,0.430785777,0.432297882,0.416420715,0.447164639,0.434172358
0.03,0.444192779,0.432948693,0.432297882,0.416420715,0.447164639,0.434604942
0.031,0.444192779,0.432948693,0.441510144,0.416420715,0.447164639,0.436447394
0.032,0.444192779,0.439884771,0.441790777,0.41037167,0.447330776,0.436714155
0.033,0.44356366,0.438879248,0.441790777,0.41037167,0.45311184,0.437543439
0.034,0.44356366,0.435697783,0.425282697,0.41037167,0.460341604,0.435051483
0.035,0.446493529,0.44468204,0.423964929,0.409539249,0.457607875,0.436457524
0.036,0.446493529,0.446167363,0.423964929,0.409539249,0.457607875,0.436754589
0.037,0.451086912,0.446167363,0.421966408,0.414996347,0.457607875,0.438364981
0.038,0.462408762,0.446167363,0.421966408,0.43082807,0.45823189,0.443920499
0.039,0.461588411,0.446167363,0.424955344,0.43082807,0.45823189,0.444354216
0.04,0.461588411,0.44475522,0.425376872,0.44146096,0.45823189,0.446282671
0.041,0.461588411,0.44475522,0.425376872,0.44146096,0.45823189,0.446282671
0.042,0.461588411,0.44475522,0.425376872,0.439004547,0.45823189,0.445791388
0.043,0.461588411,0.449532451,0.42949258,0.439004547,0.45823189,0.447569976
0.044,0.467310173,0.449532451,0.42342717,0.438904655,0.45823189,0.447481268
0.045,0.468486927,0.449532451,0.431884985,0.438904655,0.462521194,0.450266043
0.046,0.468354404,0.449532451,0.427231876,0.43774812,0.462521194,0.449077609
0.047,0.468354404,0.462856343,0.425368498,0.43774812,0.457376696,0.450340812
0.048,0.468354404,0.462856343,0.425368498,0.43774812,0.457376696,0.450340812
0.049,0.468354404,0.462856343,0.426125796,0.43774812,0.459805915,0.450978115
0.05,0.476330671,0.461451719,0.426125796,0.43774812,0.459805915,0.452292444
0.051,0.476330671,0.461451719,0.426125796,0.444890703,0.459805915,0.453720961
0.052,0.476330671,0.460908292,0.445313113,0.444890703,0.459805915,0.457449739
0.053,0.476330671,0.456514224,0.448097087,0.444890703,0.459805915,0.45712772
0.054,0.476330671,0.456514224,0.44023949,0.444890703,0.459805915,0.455556201
0.055,0.476330671,0.456514224,0.44023949,0.444890703,0.459805915,0.455556201
0.056,0.476330671,0.456514224,0.444843853,0.449188391,0.459805915,0.457336611
0.057,0.477327227,0.455817575,0.444843853,0.463204573,0.455528247,0.459344295
0.058,0.477327227,0.455817575,0.444843853,0.463204573,0.455528247,0.459344295
0.059,0.477327227,0.455817575,0.444843853,0.463204573,0.455528247,0.459344295
0.06,0.484671267,0.455817575,0.444843853,0.463204573,0.455528247,0.460813103
0.061,0.484671267,0.457858876,0.444843853,0.4651072,0.458065064,0.462109252
0.062,0.484671267,0.469883797,0.444843853,0.4651072,0.458065064,0.464514236
0.063,0.484671267,0.4707064,0.444843853,0.4651072,0.455904073,0.464246559
0.064,0.484671267,0.471643246,0.444843853,0.482339328,0.455904073,0.467880354
0.065,0.484671267,0.471643246,0.444843853,0.482339328,0.456659267,0.468031392
0.066,0.484671267,0.471643246,0.442442282,0.482339328,0.457525153,0.467724255
0.067,0.484671267,0.471643246,0.438145888,0.482339328,0.457525153,0.466864976
0.068,0.483091522,0.464727625,0.440311354,0.487971871,0.472995879,0.46981965
0.069,0.490051668,0.464727625,0.450315675,0.487971871,0.472995879,0.473212544
0.07,0.48856601,0.464727625,0.448771059,0.487971871,0.477520267,0.473511366
0.071,0.495379833,0.468094052,0.448771059,0.496424381,0.477520267,0.477237918
0.072,0.495379833,0.468094052,0.448771059,0.51106799,0.477520267,0.48016664
0.073,0.495379833,0.468094052,0.452634187,0.51106799,0.476363014,0.480707815
0.074,0.495757631,0.472930751,0.452908651,0.51106799,0.468623751,0.480257755
0.075,0.495757631,0.472930751,0.455428063,0.500990856,0.468623751,0.47874621
0.076,0.495757631,0.472930751,0.456644201,0.500990856,0.468623751,0.478989438
0.077,0.495757631,0.479032608,0.456644201,0.500990856,0.464613379,0.479407735
0.078,0.495757631,0.484909296,0.456644201,0.500990856,0.464613379,0.480583073
0.079,0.495757631,0.484909296,0.456644201,0.500990856,0.464613379,0.480583073
0.08,0.488940794,0.484909296,0.457859133,0.500990856,0.464613379,0.479462691
0.081,0.495099844,0.484909296,0.457859133,0.500990856,0.464613379,0.480694502
0.082,0.495099844,0.488910559,0.457859133,0.500990856,0.464613379,0.481494754
0.083,0.493580375,0.488910559,0.457859133,0.496867039,0.468342977,0.481112016
0.084,0.493580375,0.488910559,0.457859133,0.500891139,0.479764085,0.484201058
0.085,0.510033087,0.488910559,0.457859133,0.500891139,0.479764085,0.4874916
0.086,0.503607671,0.494532534,0.457859133,0.501516703,0.479764085,0.487456025
0.087,0.55136406,0.524655099,0.457859133,0.501516703,0.479764085,0.503031816
0.088,0.55136406,0.524655099,0.457859133,0.501516703,0.479764085,0.503031816
0.089,0.55136406,0.524655099,0.457859133,0.526847498,0.478473098,0.507839777
0.09,0.556917874,0.524655099,0.457859133,0.526847498,0.478473098,0.50895054
0.091,0.556917874,0.524655099,0.457859133,0.526847498,0.478473098,0.50895054
0.092,0.556917874,0.524655099,0.457859133,0.526847498,0.478473098,0.50895054
0.093,0.556917874,0.524655099,0.494640106,0.526847498,0.471135747,0.514839265
0.094,0.556917874,0.524655099,0.494640106,0.526847498,0.493180095,0.519248134
0.095,0.556917874,0.524655099,0.494640106,0.535992717,0.493180095,0.521077178
0.096,0.556917874,0.524655099,0.494640106,0.535992717,0.498892286,0.522219616
0.097,0.556917874,0.524655099,0.494640106,0.535992717,0.498892286,0.522219616
0.098,0.556917874,0.524655099,0.494640106,0.535992717,0.498892286,0.522219616
0.099,0.556917874,0.533509883,0.494640106,0.535992717,0.498892286,0.523990573
0.1,0.556917874,0.533509883,0.500677459,0.535992717,0.498892286,0.525198044
0.101,0.556917874,0.533509883,0.494890957,0.535992717,0.498892286,0.524040743
0.102,0.556917874,0.533509883,0.52213806,0.535992717,0.512600644,0.532231836
0.103,0.556917874,0.533509883,0.52213806,0.550885546,0.512600644,0.535210401
0.104,0.56170358,0.533509883,0.52213806,0.550885546,0.512600644,0.536167543
0.105,0.562494665,0.533509883,0.52213806,0.550885546,0.525548482,0.538915327
0.106,0.562494665,0.533509883,0.52213806,0.550885546,0.525548482,0.538915327
0.107,0.562494665,0.533509883,0.52213806,0.550885546,0.525551856,0.538916002
0.108,0.562494665,0.534274797,0.547005899,0.550885546,0.525551856,0.544042553
0.109,0.562494665,0.534274797,0.547005899,0.550885546,0.525551856,0.544042553
0.11,0.562494665,0.534274797,0.547005899,0.550885546,0.525551856,0.544042553
0.111,0.562494665,0.534274797,0.547005899,0.550885546,0.529193787,0.544770939
0.112,0.572190877,0.534274797,0.547005899,0.550885546,0.529193787,0.546710181
0.113,0.572190877,0.544831498,0.547005899,0.550885546,0.529193787,0.548821522
0.114,0.572190877,0.544831498,0.547005899,0.550885546,0.529193787,0.548821522
0.115,0.572190877,0.544831498,0.547005899,0.550885546,0.529193787,0.548821522
0.116,0.572190877,0.544831498,0.547005899,0.550885546,0.529193787,0.548821522
0.117,0.572190877,0.544831498,0.547005899,0.550885546,0.529193787,0.548821522
0.118,0.572190877,0.540282774,0.547005899,0.550885546,0.540616861,0.550196391
0.119,0.572190877,0.540282774,0.547005899,0.550885546,0.540616861,0.550196391
0.12,0.572190877,0.540282774,0.547005899,0.550885546,0.540616861,0.550196391
0.121,0.572190877,0.540282774,0.547005899,0.550885546,0.540616861,0.550196391
0.122,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.123,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.124,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.125,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.126,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.127,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.128,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.129,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.13,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.131,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.132,0.572190877,0.559482375,0.547005899,0.550885546,0.540616861,0.554036312
0.133,0.572190877,0.557212405,0.547005899,0.550885546,0.540616861,0.553582318
0.134,0.572190877,0.557212405,0.547005899,0.550885546,0.540616861,0.553582318
0.135,0.572190877,0.557212405,0.547005899,0.550885546,0.540616861,0.553582318
0.136,0.572190877,0.557212405,0.547005899,0.550885546,0.540616861,0.553582318
0.137,0.572190877,0.557212405,0.547005899,0.550885546,0.540616861,0.553582318
0.138,0.572190877,0.557212405,0.547005899,0.550885546,0.540616861,0.553582318
0.139,0.572190877,0.557212405,0.547005899,0.550885546,0.538973323,0.55325361
0.14,0.572190877,0.557212405,0.547005899,0.550885546,0.538973323,0.55325361
0.141,0.572190877,0.557212405,0.547005899,0.550885546,0.538973323,0.55325361
0.142,0.572190877,0.557212405,0.545672465,0.550885546,0.540616861,0.553315631
0.143,0.572190877,0.557212405,0.545672465,0.550885546,0.540616861,0.553315631
0.144,0.572190877,0.557212405,0.545672465,0.550885546,0.540616861,0.553315631
0.145,0.572190877,0.557212405,0.545672465,0.550885546,0.540616861,0.553315631
0.146,0.572190877,0.557212405,0.554765152,0.54557787,0.540616861,0.554072633
0.147,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.148,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.149,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.15,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.151,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.152,0.577002892,0.557212405,0.554765152,0.54557787,0.551061151,0.557123894
0.153,0.577002892,0.557212405,0.554765152,0.54557787,0.551061151,0.557123894
0.154,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.155,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.156,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.157,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.158,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.159,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.16,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.161,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.162,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.163,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.164,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.165,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.166,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.167,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.168,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.169,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.17,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.171,0.57373572,0.557212405,0.554765152,0.577039878,0.544338976,0.561418426
0.172,0.57373572,0.557212405,0.554765152,0.577039878,0.544338976,0.561418426
0.173,0.57373572,0.557212405,0.554765152,0.577039878,0.544338976,0.561418426
0.174,0.57373572,0.559482375,0.554765152,0.577039878,0.544338976,0.56187242
0.175,0.57373572,0.559482375,0.554765152,0.577039878,0.544338976,0.56187242
0.176,0.57373572,0.559482375,0.554765152,0.577039878,0.551061151,0.563216855
0.177,0.57373572,0.578928391,0.554765152,0.577039878,0.551061151,0.567106058
0.178,0.57373572,0.578928391,0.554765152,0.577039878,0.551061151,0.567106058
0.179,0.57373572,0.578928391,0.554765152,0.577039878,0.583931256,0.573680079
0.18,0.57373572,0.578928391,0.554765152,0.577039878,0.583931256,0.573680079
0.181,0.57373572,0.578928391,0.554765152,0.577039878,0.583931256,0.573680079
0.182,0.57373572,0.578928391,0.554765152,0.577039878,0.583931256,0.573680079
0.183,0.57373572,0.578928391,0.554765152,0.575450473,0.583931256,0.573362198
0.184,0.57373572,0.578928391,0.554765152,0.607047193,0.583931256,0.579681542
0.185,0.57373572,0.578928391,0.558745093,0.607047193,0.566489753,0.57698923
0.186,0.57373572,0.578928391,0.592875987,0.607047193,0.566489753,0.583815409
0.187,0.57373572,0.599567205,0.592875987,0.607047193,0.566489753,0.587943172
0.188,0.62128517,0.599567205,0.592875987,0.607047193,0.566489753,0.597453062
0.189,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.19,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.191,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.192,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.193,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.194,0.605866208,0.599567205,0.592875987,0.607047193,0.590380162,0.599147351
0.195,0.605866208,0.599567205,0.592875987,0.607047193,0.590380162,0.599147351
0.196,0.605866208,0.599567205,0.592875987,0.607047193,0.590380162,0.599147351
0.197,0.605866208,0.599567205,0.592875987,0.607047193,0.590380162,0.599147351
0.198,0.605866208,0.599567205,0.592875987,0.607047193,0.590380162,0.599147351
0.199,0.605866208,0.599567205,0.592875987,0.607047193,0.590380162,0.599147351
0.2,0.605866208,0.636606611,0.59076664,0.607047193,0.590380162,0.606133363
0.201,0.605866208,0.636606611,0.583396564,0.607047193,0.590380162,0.604659347
0.202,0.602622156,0.636606611,0.60915195,0.607047193,0.590380162,0.609161614
0.203,0.602622156,0.636606611,0.60915195,0.607047193,0.590380162,0.609161614
0.204,0.602622156,0.636606611,0.60915195,0.607047193,0.590380162,0.609161614
0.205,0.602622156,0.636606611,0.60915195,0.607047193,0.590380162,0.609161614
0.206,0.602622156,0.636606611,0.60915195,0.607047193,0.57485704,0.60605699
0.207,0.602622156,0.636606611,0.60915195,0.607047193,0.57485704,0.60605699
0.208,0.602622156,0.636606611,0.60915195,0.607047193,0.57485704,0.60605699
0.209,0.602622156,0.636606611,0.60915195,0.607047193,0.57485704,0.60605699
0.21,0.602622156,0.636606611,0.60915195,0.607047193,0.57485704,0.60605699
0.211,0.602622156,0.636606611,0.60915195,0.607047193,0.57485704,0.60605699
0.212,0.602622156,0.636606611,0.60915195,0.607047193,0.57485704,0.60605699
0.213,0.614692143,0.636606611,0.60915195,0.607047193,0.57485704,0.608470987
0.214,0.614692143,0.639955592,0.60915195,0.607047193,0.57485704,0.609140784
0.215,0.614692143,0.639955592,0.60915195,0.607047193,0.57485704,0.609140784
0.216,0.614692143,0.639955592,0.60915195,0.607047193,0.57485704,0.609140784
0.217,0.614692143,0.639955592,0.60915195,0.607047193,0.57485704,0.609140784
0.218,0.614692143,0.639955592,0.60915195,0.635104014,0.57485704,0.614752148
0.219,0.614692143,0.639955592,0.60915195,0.635104014,0.57675677,0.615132094
0.22,0.614692143,0.639955592,0.60915195,0.635104014,0.57675677,0.615132094
0.221,0.614692143,0.639955592,0.60915195,0.635104014,0.57675677,0.615132094
0.222,0.614692143,0.639955592,0.60915195,0.635104014,0.57675677,0.615132094
0.223,0.614692143,0.639955592,0.60915195,0.635104014,0.57675677,0.615132094
0.224,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.225,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.226,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.227,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.228,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.229,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.23,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.231,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.232,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.233,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.234,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.235,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.236,0.615853609,0.639955592,0.60915195,0.635104014,0.57675677,0.615364387
0.237,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.238,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.239,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.24,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.241,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.242,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.243,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.244,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.245,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.246,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.247,0.638198979,0.639955592,0.60915195,0.635104014,0.57675677,0.619833461
0.248,0.638198979,0.639955592,0.625590397,0.635104014,0.57675677,0.62312115
0.249,0.638198979,0.639955592,0.625590397,0.635104014,0.57675677,0.62312115
0.25,0.638198979,0.639955592,0.625590397,0.635104014,0.57675677,0.62312115
