,material_id,composition,band_gap
1340,3395,PbBr2,3.31
1341,1262,CuNbO3,2.0
1342,2435,Li2Ga2GeS6,3.65
1343,266,Ba3B1.5S6Sb0.5,3.01
1344,250,Ba2Sb7O14H,2.7
1345,956,Cs2P2Se8,2.44
1346,193,Ba2B4O9H2,5.12
1347,4583,VFeSb,0.46
1348,2096,K2CuVS4,1.82
1349,3994,SnS0.99Se0.01,1.0950000000000002
1350,2310,La2Sr2PtO7.13,2.52
1351,2112,K2MnSn2Se6,2.0
1352,1126,Cu0.4Ga1.6S2.6,2.475
1353,235,Ba2InErTe5,1.35
1354,1681,GdH2NO5,4.84
1355,4378,Tl4GaIn3S8,2.63
1356,1988,In2Bi3Se7I,1.38
1358,2988,Na2In4SSe6,1.92
1359,441,Be3N2,3.8
1360,3606,Rb3Nb2AsSe11,1.5
1361,2107,K2HgP2Se6,2.25
1362,2614,LiAsSe2,1.2366666666666666
1363,3763,SbSBr,2.1999999999999997
1364,40,Ag7AsSe6,1.0
1365,1841,Hg3PS4,2.03
1366,1240,CuGaGeSe4,1.38
1367,2417,Li2CdGeS4,3.1
1368,3389,Pb6BBrO7,2.84
1369,1239,CuGa3Te5,1.092
1370,2128,K2Sn3Sb2S10,2.3
1371,2399,LaZnAsO,1.5
1372,2187,KAlGeS4,3.5
1373,1346,DyTe1.45,0.6
1375,1015,CsBiS2,1.4166666666666667
1376,2280,La2CoTiO6,1.02
1377,2138,K3CdB5O10,3.47
1378,2652,LiGaGe2Se6,2.64
1379,3592,Rb2TeI6,1.4
1380,1237,CuGa2Se4,0.63
1381,3689,RbTa3Te2O12,3.88
1382,753,Ce2GeSe5,1.7
1383,959,Cs2PtI6O18,2.4
1384,4797,Zn0.7S0.7Ga0.3P0.3,2.45
1388,4215,TcS2,1.0
1389,3650,RbCl,8.278
1390,1018,CsCaBO3,4.065
1391,4895,Zr6O,0.18
1392,374,BaGa2GeS6,3.245
1393,1677,GdB6,3.6
1395,4135,TaGaSe2,2.0585
1396,2030,InSb0.1As0.9,0.14
1397,4407,TlGaSe2,1.65
1398,4387,TlBiTe2,0.12
1399,17,Ag2GeTe3,0.16
1401,999,Cs5P5Se12,2.17
1402,279,Ba3FeS4Br,1.65
1403,3282,Pb0.6Ge0.4Te,0.51
1404,1560,Ga0.4As0.4Zn0.6Se0.6,1.8
1405,2945,MnVTe2O8,1.9
1406,967,Cs2TeBr6,2.12
1409,3779,Sc2S3,2.0
1410,4139,TaON,2.5999999999999996
1411,1462,EuIn2Te4,1.22
1413,2109,K2La2Sb2S9,2.2
1414,79,AgIn5Te8,0.47
1415,968,Cs2TeI6,1.5
1416,1879,HgSe,0.2416666666666667
1417,1632,GaAs0.7P0.3,1.8
1418,3092,NaSbTe2,0.47
1419,2259,KTbSe4,1.65
1420,4094,SrTaO2N,1.99
1421,410,BaS,3.89
1422,4356,Tl2InGaSe4,2.05
1423,1467,EuLu2Se4,1.7
1424,1263,CuNiC4N4,2.7
1425,1045,CsH3Se2O6,4.77
1426,1146,Cu2CdGeSe4,1.2
1427,1863,HgCl2,4.45
1428,2178,KAg11V4O16,2.0
1429,2966,Na2BaSnS4,3.27
1430,2005,In4Se3,0.645
1431,4404,TlCuCl3,2.98
1432,3291,Pb0.83Sn0.17Te,0.15
1433,3594,Rb2TiCu2S4,2.19
1434,3995,SnS2,2.43
1435,2047,InSnAsSe,0.26
1436,2589,Li6Rb5B11O22,6.53
1437,1585,Ga0.99P0.99Zn0.01Se0.01,2.24
1438,1107,CsZn4In5Se12,1.61
1439,2078,K2AuI5O15,2.65
1440,3966,Sn2WO5,2.597
1441,2481,Li2ZnGe,1.1
1442,1177,Cu3AsS4,1.36
1443,3889,Sm3Al0.33SiS7,2.26
1444,464,Bi12GeO20,3.25
1445,1236,CuGa2S3.5,2.42
1446,699,CdBiO2Cl,3.08
1447,2668,LiIO3,4.1850000000000005
1448,3945,SmSb,0.59
1449,491,Bi2Se3,0.375
1450,2872,Mn15Si26,0.701
1452,1223,CuBiP2Se6,1.2
1453,1576,Ga0.8In0.2As,1.07
1454,1272,CuSbSe2,1.05
1455,3422,PbSeO4,4.3
1456,2051,IrAs2,1.0
1457,300,Ba3Tb2P4S16,3.37
1458,4229,TeI4,1.1
1459,1842,Hg3S2Bi2Cl8,3.26
1460,214,Ba2GaBiTe5,1.43
1461,4396,TlCr5S5Se3,0.89
1463,3860,SiTe2,2.015
1464,1046,CsHgInS3,2.3
1465,281,Ba3GeS5,3.0
1466,3148,Nd2O3,4.4
1467,234,Ba2InErSe5,2.29
1468,1725,GeAs,1.37
1469,1180,Cu3DySe3,0.2
1472,3570,Rb2Cu2Sb2S5,1.6
1473,3565,Rb2Cd3Te4,2.3
1474,3325,Pb0.96TeGa0.04,0.37
1475,3556,Rb1.54Cd1.54Bi2.46S6,1.33
1476,2436,Li2GaGe2Se6,2.64
1477,3515,PrFMoO4,3.64
1478,1267,CuPbBiS3,0.12
1479,4216,TcSe2,0.88
1480,4628,Y4GaSbS9,2.06
1481,1581,Ga0.95Sb0.95Zn0.05Te0.05,0.85
1482,1608,Ga2O3,4.470000000000001
1483,369,BaCuSbSe3,1.6
1484,1109,CsZrPSe6,2.0
1485,1644,GaHSeO4,5.51
1486,1995,In2Se,0.7226666666666667
1487,1515,Fe2TiSi,0.4
1488,3391,Pb7Bi4Se13,0.29
1489,5,Ag0.5Eu1.75GeS4,2.14
1490,2371,LaIn3S6,1.03
1491,1243,CuGaS2,2.442857142857143
1492,3961,Sn0.5GaZn5.5O8,2.99
1493,507,Bi2Te2Se,0.3
1494,1858,Hg7.5As4Cl6,1.727
1495,1075,CsPSe6,1.9
1497,3956,SmTe,0.378
1498,3413,PbSbBS4,1.803
1499,2873,Mn2.04Gd1.47In0.49S5,1.75
1500,540,BiSCl,1.91
1501,1060,CsKP2Se8,2.36
1502,106,AgTlTe2,0.1
1503,1583,Ga0.99As0.99Zn0.01Se0.01,1.39
1504,2033,InSb0.4As0.6,0.1
1505,3298,Pb0.85Sn0.15Te,0.15125
1506,736,CdSiAs2,1.524
1507,3561,Rb2BaNb2Se11,1.53
1508,3900,Sm4InSbS9,2.13
1510,1828,Hg0.99Cd0.01Se,1.72
1511,2706,LiRbCO3,6.28
1512,4850,ZnMoSb2O7,3.3
1513,3051,NaBr,7.261666666666667
1514,1717,Ge0.97Si0.03,0.67
1515,1241,CuGaInS3.5,1.84
1516,4796,Zn0.75Hg0.25Se,1.4
1519,4428,TlSbTe3,0.38
1520,1701,Ge0.1Si0.9,1.04
1521,2081,K2Bi8Se13,0.53
1522,1138,Cu0.9In1.1Se2.1,1.06
1523,4386,TlAsSe2,1.375
1524,1593,Ga1.001Sb0.999Te0.003,0.72
1525,669,Cd12Ge17B8O58,4.29
1526,504,Bi2Te2.7Se0.3,0.206
1527,3846,Si3N4,5.1
1528,1026,CsCdInSe3,2.4
1531,3743,RuSb2,0.3
1532,2933,MnSb2Se4,0.31
1533,3549,PtP2,0.7
1534,1866,HgGa2Se4,1.95
1535,977,Cs3Bi,0.625
1536,1481,EuS,1.6616666666666664
1537,1712,Ge0.891Si0.109,1.126
1538,307,Ba4AgGa5S12,2.52
1540,3715,ReS2,1.143333333333333
1541,2391,LaSi2,0.19
1542,666,Cd0.95Te0.95Al0.05Sb0.05,1.37
1543,4076,SrNd2S4,2.45
1544,495,Bi2Te0.3Se2.7,0.24
1545,219,Ba2GaGdSe5,1.87
1546,1658,Gd2Mn4S7,1.44
1547,511,Bi38ZnO58,2.88
1548,1983,In0.9As0.9Cd0.1Te0.1,0.69
1549,2532,Li4.5Fe0.5TeO6,3.25
1551,2990,Na2KSb,1.05
1552,4418,TlN3,3.58
1555,1063,CsLu7S11,1.86
1556,2324,La3Mg0.5SnS14,1.71
1557,3576,Rb2CuVS4,1.85
1558,961,Cs2Sb,0.62
1560,2116,K2Nd2Ti3O10,3.25
1561,3596,Rb3Ag9P4S16,2.6
1562,2057,K0.6Cs0.4PSe6,2.1
1563,2548,Li4HgGe2S7,2.75
1564,1736,GeSe2,2.3812499999999996
1565,1453,EuGa2S4,2.25
1566,1871,HgO,2.347
1569,174,B2O3,4.895
1570,1170,Cu2ZnGeS4,2.1
1571,850,CeTaN2O,1.9
1572,1122,Cu0.35Ga1.65Se2.65,1.81
1573,4399,TlCr5S8,1.01
1574,4095,SrTe,3.75
1575,2927,MnO2,1.3
1576,1584,Ga0.99In0.01As,1.4
1579,949,Cs2HgI2Cl2,2.15
1580,3572,Rb2Cu2Sn2Se6,1.04
1581,1246,CuI,3.0264
1582,1136,Cu0.99In1.01Se2.01,1.08
1583,1629,GaAs0.65Sb0.35,0.68
1585,3309,Pb0.92Sn0.08Te,0.145
1586,452,BeSe,4.0
1587,4105,SrZrS3,0.9
1588,1599,Ga1.01Sb0.99Te0.03,0.68
1590,4340,TiTlS2,1.0
1591,265,Ba3B1.5S6Bi0.5,2.43
1592,720,CdP2S4,3.76
1593,3008,Na2Zn3Se4O12,4.9
1594,2243,KPbB5O9,3.1
1595,1061,CsLaHgSe3,2.485
1596,3732,Ru2Ge3,0.43
1597,3293,Pb0.85Se0.85Ge0.15S0.15,0.34
1598,1503,EuYb2Se4,1.3
1599,917,CrO2,0.23
1600,1810,Hg0.1Cd0.9Se,0.35
1601,4800,Zn0.8Hg0.2Se,1.4
1602,1662,Gd2Se3,2.2
1604,2131,K2TeI6,1.38
1605,1594,Ga1.002Sb0.998Se0.006,0.698
1606,3330,Pb0.97Sn0.03Te,0.255
1607,3566,Rb2CdBr2I2,3.35
1608,3423,PbSnS3,0.975
1609,31,Ag3AsS3,2.07225
1610,1977,In0.98As0.98Cd0.02Te0.02,0.73
1611,1612,Ga2Te3,1.4
1612,3863,Sm1.82Lu2.18Se6,1.51
1613,3091,NaSbSe2,1.3866666666666667
1615,2771,LuIn3S6,1.27
1616,3055,NaCdAsS3,2.93
1617,3614,Rb4Ag9Sb4S12,2.0
1618,3139,Nd1.33Lu0.67S3,1.5
1619,1210,Cu4Sn7S16,0.8
1620,23,Ag2PdO2,0.18
1621,1501,EuVO4,3.3499999999999996
1622,3406,PbGeS3,2.4
1623,1856,Hg6As4CdBr6,1.915
1624,1028,CsCeHgSe3,1.94
1625,1445,EuCu2SnS4,1.85
1626,3593,Rb2TiAg2S4,2.33
1627,2320,La3GaGe0.5S7,2.54
1628,1458,EuHo2Se4,1.8
1629,1578,Ga0.8Sb0.8Zn0.2Te0.2,1.15
1630,3342,Pb0.99Ge0.01Se,0.27
1631,1113,Cu0.05Ga1.95Se2.95,1.96
1632,4731,YbClWO4,4.23
1633,2319,La3FMo4O16,3.7
1634,3628,Rb9Bi13S24,1.3
1635,63,AgCl,5.13
1636,4681,YVSeO10,2.7
1637,2260,KTi2F7,6.4
1638,1415,Eu2SnSe5,1.07
1639,2227,KIO3,3.8575
1640,3347,Pb0.99Sn0.01Te,0.23
1641,484,Bi2O3,2.855
1642,2271,La1.86Tb1.14Ga1.67S7,2.67
1643,765,Ce2YbCuSe5,1.05
1644,121,Al2Te3,2.35
1645,2858,MgSe,5.743333333333333
1646,2094,K2CuNbS4,2.82
1647,4775,YbSnTe2,0.75
1648,2998,Na2Se,2.0
1649,516,Bi3TeBO9,2.6
1650,2733,LiZnBO3,3.1
1651,2165,K4Sn3Ce3S14,2.46
1652,1276,CuTlSe2,1.07
1654,3095,NaSmP2S6,2.54
1655,1151,Cu2GeSe3,0.975
1657,2073,K2AgVS4,1.85
1658,3353,Pb0.9Ge0.1Te,0.35
1659,503,Bi2Te2.4Se0.6,0.26
1660,409,BaRh2Ge4Se6,1.089
1661,3421,PbSe0.9S0.1,0.272
1663,411,BaSbBS4,2.34
1664,4762,YbS,1.135
1665,708,CdI2,3.8
1667,1535,FeP4,0.32
1668,2458,Li2MoTeO6,3.5
1669,1053,CsInSe2,2.81
1670,468,Bi12TiO20,3.09
1671,3441,PdS2,0.75
1672,731,CdS0.99Se0.01,2.4
1673,3015,Na3MoO4F,4.77
1674,87,AgLi0.33Ti0.67O2,2.7
1675,2088,K2CsSb,1.1
1676,3327,Pb0.96TeTl0.04,0.57
1677,3744,RuSbSe,0.9
1678,3697,RbYTe2O6,3.6
1679,1868,HgIn2Se4,0.6
1681,2359,LaF3,6.6
1682,3437,PdPS,1.39
1683,2340,La5In3S9O3,2.6
1684,3318,Pb0.95Ge0.05Se,0.28
1686,4228,TeI,1.1
1687,3436,PdPAs,0.45
1688,3093,NaScSe2O6,5.5
1689,98,AgSO4,0.18
1690,700,CdBr2,4.47
1692,3852,SiB3,2.0
1693,1968,In0.7P0.7Ga0.3As0.3,1.58
1694,2401,Li0.2Na0.8AsSe2,1.645
1695,3193,NdF3,6.15
1697,1116,Cu0.1Ga1.9S2.9,2.625
1698,1955,In0.3Ga0.7P,2.2
1699,1818,Hg0.63Cd0.37Te,0.35
1700,70,AgGaO2,2.2
1701,1815,Hg0.3Cd0.7Se,0.55
1702,4845,ZnI2,4.53
1703,1814,Hg0.2Zn0.8Te,1.43
1704,1609,Ga2S3,2.83
1705,3262,OsPSe,1.4
1706,4654,YH2NO5,4.83
1707,2952,MoTe2,1.1266666666666667
1708,964,Cs2SnP2Se6,2.06
1710,1572,Ga0.7In0.3As,1.0
1711,462,Bi1.8Te3Sb0.2,0.15
1712,1049,CsInGeS4,2.25
1713,1964,In0.5P0.5Ga0.5As0.5,1.75
1714,474,Bi25GaO39,2.99
1715,990,Cs4Cu3Bi9S17,0.75
1716,3274,PAs,0.23
1717,3616,Rb4GeP4Se12,2.0
1718,4778,YbTe,1.8
1719,3399,PbCrO4,2.25
1720,1231,CuFeS2,0.4866666666666666
1722,3766,SbSeI,1.72
1723,3301,Pb0.8Ge0.2Te,0.4
1724,1244,CuGaSe2,1.6133333333333333
1725,2971,Na2CdSnS4,2.52
1726,1160,Cu2P2S6,2.2
1727,2871,Mn11Si19,0.74
1728,2152,K3Ti2P5S18,1.61
1729,1085,CsScSe2O6,5.2
1730,3590,Rb2Te,4.5
1731,3155,Nd2YbCuS5,1.35
1732,4107,Ta0.67Zr1.33O1.38N1.97,2.31
1733,71,AgGaS2,2.655
1734,1795,HfSe2,2.2
1735,2160,K4GeSe4,0.64
1736,102,AgScO2,3.8
1737,2812,Mg3B50C8,2.7
1738,3336,Pb0.999Se0.999Bi0.002Te0.003,0.79
1739,4430,TlScSe2,0.79
1740,3010,Na2ZnGe2Se6,2.36
1741,230,Ba2In2Se5,2.12
1742,1846,Hg3ZnS2Cl4,2.65
1743,33,Ag3Ga3SiSe8,2.3
1744,2533,Li4.5Ga0.5TeO6,4.99
1745,4411,TlHgInS3,1.74
1746,2300,La2O3,5.4
1748,2497,Li3Cs2B5O10,7.3
1750,2087,K2CeP2O8,2.46
1751,3295,Pb0.85Se0.85Sn0.15Se0.15,0.22
1752,1178,Cu3AsSe4,0.765
1753,4841,ZnGeAs2,1.1033333333333333
1754,451,BeS,4.17
1756,1807,Hg0.06Zn0.94Te,2.075
1757,1044,CsGeI3,1.6
1758,278,Ba3EuP3O12,4.091
1759,1386,ErIn3S6,1.28
1760,2415,Li2B6,2.0
1761,1975,In0.96As0.96Cd0.04Te0.04,0.69
1762,2063,K10Fe4Sn4S17,2.2
1763,685,Cd4P2Br3,2.19
1764,554,Ca2CdAs2,0.95
1765,169,AsSeI,1.76
1766,3319,Pb0.95Ge0.05Te,0.34
1767,2239,KNb3Te2O12,3.52
1768,3033,Na8Al8Si38,0.64
1769,2101,K2Ge3B2O10,5.38
1770,4928,ZrS2,2.75
1771,1575,Ga0.8Al0.2P,2.3
1772,1984,In0.9As0.9Ga0.1P0.1,0.45
1773,4114,Ta2O5,4.2
1775,496,Bi2Te0.45Se2.55,0.2
1776,857,Co2Te3O8,3.6
1777,3679,RbNb4Br11,0.46
1778,3024,Na4MgGe2Se6,2.53
1779,3680,RbNbSe2O7,4.1
1781,1007,CsAgSb4S7,2.04
1782,3224,NdTe2,0.48
1783,147,AlP,2.796818181818182
1785,4832,ZnAs2,1.0266666666666666
1786,1238,CuGa3Se5,1.8166666666666669
1787,2742,Lu2CrS4,1.75
1788,218,Ba2GaErTe5,1.15
1790,1038,CsGaS3,3.0
1791,1567,Ga0.6Al0.4P,2.35
1792,241,Ba2InSmSe5,2.22
1793,4763,YbSb,1.0
1794,3100,NaYTe4O10,3.9
1795,3598,Rb3Al3Ge7Se20,2.4
1797,3887,Sm2ZrSe5,1.41
1798,4724,YbB66,1.27
1799,308,Ba4AgInSe6,2.41
1800,1582,Ga0.99Al0.01P,2.27
1801,922,CrTe2,0.17
1802,3768,SbTeI,1.265
1803,3580,Rb2Hg3Sn2S8,2.48
1804,3308,Pb0.92Sn0.08Se,0.059
1806,4806,Zn0.9S0.9Ga0.1P0.1,2.8
1807,2158,K4GeP4Se12,2.0
1808,3393,PbBiO2Br,2.385
1809,268,Ba3BSbSe6,1.89
1810,3380,Pb3Cl4TeO3,3.79
1811,2311,La2V2IO9,3.63
1812,3387,Pb6B2MoO12,2.9
1813,2432,Li2FeSnS4,1.86
1814,2159,K4GeS4,0.8
1815,1623,GaAs0.1P0.9,1.22
1817,2253,KScSe2O6,5.4
1818,1128,Cu0.5Ga1.5S2.5,2.4450000000000003
1819,2630,LiCdBO3,4.28
1820,448,BeO,10.39
1821,1110,Cu0.01Ga1.99Se2.99,1.99
1822,2065,K10Sn3P8Se24,1.82
1823,1705,Ge0.542Si0.458,2.238
1824,3559,Rb2AgPS4,2.6
1825,16,Ag2GeSe3,0.905
1826,3415,PbSbO2I,2.48
1827,2531,Li4.5Cr0.5TeO6,1.79
1828,2675,LiInSnS4,2.3
1829,1928,HoN,1.856666666666667
1830,950,Cs2MgGe3Se8,2.04
1831,3355,Pb0.9Se0.9Bi0.2Te0.3,0.25
1832,493,Bi2Te0.03Se2.97,0.27
1833,3963,Sn2BiSI5,1.32
1834,1849,Hg4As2HfCl6,2.47
1836,3153,Nd2Te3,1.12
1837,3997,SnSe,0.9916666666666668
1838,4367,Tl2TeS3,1.6
1839,2074,K2Al2B2O7,6.89
1840,149,AlSb,1.6518000000000002
1841,2099,K2Gd2Sb2Se9,1.33
1842,4805,Zn0.9Hg0.1Se,1.75
1843,1604,Ga1.1Sb0.9Se0.3,0.67
1844,1176,Cu2ZnSnTe4,1.39
1846,1511,Fe2O3,2.2
1847,1711,Ge0.88Si0.12,0.84
1848,108,Al0.74Gd3Si0.7S7,2.34
1849,391,BaIr2Ge4S6,1.539
1850,1039,CsGaSn2Se6,1.87
1851,4848,ZnIn2Te4,1.8733333333333333
1852,479,Bi2Cu0.96Se3I,0.68
1853,3835,Se2B2O7,4.64
1854,18,Ag2HgI4,2.47
1855,2164,K4P8Te4,1.4
1856,238,Ba2InNdSe5,2.2
1857,432,BaZn2As2,0.23
1858,2106,K2Hg3Sn2S8,2.45
1859,2231,KInSnS4,2.3
1860,2229,KInS2,3.0
1861,2955,Na0.5Pb1.75GeS4,2.08
1862,3607,Rb3Sb,1.0
1863,3409,PbN6,3.0
1865,688,Cd4Sb2I3,1.83
1866,1845,Hg3Te2UCl6,2.6
1867,687,Cd4P2I3,2.17
1868,412,BaSe,3.626666666666667
1869,3757,Sb5O7I,1.95
1871,550,CI4,2.26
1872,4382,Tl6CuTe2O10,2.3
1873,3420,PbSe0.99S0.01,0.255
1874,4414,TlInSe2,1.2063636363636363
1875,2247,KSb,0.9
1876,734,CdSc,1.714
1877,2698,LiMoIO6,2.8
1879,2035,InSb0.6As0.4,0.13
1880,494,Bi2Te0.1Se2.9,0.78
1881,2870,Mn1.95GdIn1.05S5,1.66
1882,3340,Pb0.999TeIn0.001,0.3
1883,2398,LaVI5O16,3.58
1884,602,Ca6Bi6O15,3.34
1886,2289,La2GeSe5,1.24
1887,4788,Zn0.43Cd0.57Se,2.8499999999999996
1888,587,Ca3Sb2,1.4
1889,1564,Ga0.5In0.5As,0.75
1890,2130,K2Te,1.9
1891,1234,CuGa0.4In1.6S3.5,1.55
1892,1577,Ga0.8Sb0.8Cd0.2Te0.2,0.8
1893,1082,CsSbSe2,1.7
1894,772,Ce3LuSe6,1.1
1895,26,Ag2SnSe3,0.7833333333333333
1896,3647,RbCd4Ga5Te12,1.64
1897,2126,K2Sm2Ti3O10,3.26
1898,236,Ba2InGdSe5,2.24
1899,3351,Pb0.99TeTl0.01,0.59
1900,3878,Sm2S3,2.98
1901,1960,In0.4P0.4Ga0.6As0.6,1.74
1902,4767,YbSe,1.5
1903,2028,InSb,0.2206315789473684
1904,3740,RuPAs,0.8
1905,995,Cs4Th2P6S18,2.8
1906,4661,YN,1.9
1907,1826,Hg0.8Cd0.2Se,1.1166666666666667
1908,366,BaClBF4,6.89
1909,4086,SrS,4.779999999999999
1911,28,Ag2VI3O11,2.16
1913,157,As2S6,2.35
1914,2904,MnAl3,0.58
1915,2926,MnO,3.6
1916,1982,In0.9Al0.1P,1.5
1917,3571,Rb2Cu2Sn2S6,1.44
1918,505,Bi2Te2.97Se0.03,0.1525
1919,2811,Mg3As2,2.4499999999999997
1920,280,Ba3Gd2P4S16,3.41
1921,932,Cs2Bi2Cd2S5,1.7
1922,1365,Er3Te4,0.9
1923,2208,KCu2SbS3,1.615
1924,2020,InN,2.13
1925,3090,NaSbS2,1.64
1926,2969,Na2CdGe2S6,2.8899999999999997
1927,1279,CuZn2InTe4,1.05
1928,3912,SmB66,0.8
1929,3615,Rb4Ge3B6O17,5.42
1930,2244,KPbPO4,4.44
1932,4231,TeO2,3.0
1933,337,Ba6Al4B14O33,3.44
1934,3322,Pb0.95Se0.95Sn0.05Se0.05,0.205
1935,541,BiSI,1.5933333333333335
1936,4431,TlScTe2,0.85
1937,1357,Er2Mo3O12,1.0
1938,2317,La3CuGaSe7,1.36
1939,899,Cr3Se4,1.59
1940,4329,TiO2,3.3
1941,4766,YbSb4Te7,0.22
1942,707,CdGeP2,1.7266666666666666
1943,3,Ag0.4Cd0.2In2.4Te4,0.42
1944,2189,KAu5PS8,2.14
1946,1193,Cu3ScSe3,0.3
1947,1634,GaAs0.86Sb0.14,0.66
1948,1280,CuZr1.86S4,1.26
1949,4363,Tl2SeAs2Te3,0.67
1950,1528,FeAsSe,0.6
1951,25,Ag2SnS3,1.3533333333333335
1952,4604,WSe2,1.465
1953,2480,Li2WTeO6,4.0
1954,1808,Hg0.08Zn0.92Te,1.9
1955,1536,FePS,0.25
1956,752,Ce2Ge2Se7,1.1
1957,703,CdF2,6.0
1958,1889,Ho2HfS5,1.0
1959,4682,YVTeO10,2.2
1960,3065,NaGaGe3Se8,2.35
1961,3370,Pb2MnO4,1.5
1962,4791,Zn0.55S0.55Ga0.45P0.45,2.3499999999999996
1963,1188,Cu3NbSe4,2.45
1964,1855,Hg6.5As4CdCl6,1.955
1965,678,Cd3MoTe2O10,3.81
1967,3674,RbMn4In5Se12,1.76
1968,3982,SnI2,2.4
1969,3255,NiS2,0.64
1971,544,BiSeBr,1.6666666666666667
1972,1640,GaBi,0.1
1974,694,Cd8B5O15F,3.14
1975,4709,Yb4Sb2S11.25,1.71
1976,2188,KAsSe2,1.625
1977,1484,EuSb2Se4,0.95
1978,1222,CuBS2,3.61
1979,3569,Rb2CsSb,1.5
1980,2098,K2FeGe3Se8,1.95
1981,4166,Tb4Al2O9,4.59
1982,359,BaAuI5O15,2.32
1983,4823,Zn3P2,1.1749999999999998
1984,2337,La4InSbS9,2.07
1985,943,Cs2Ga2Se5,1.95
