,ae,exp,mp
Ho2S3,0.9612999999999996,0.5,1.4612999999999996
BaGa4S7,0.9599999999999995,3.54,2.5800000000000005
NaInTe2,0.9584000000000001,1.6,0.6416
Rb2Cd3Se4,0.9577,2.37,1.4123
K2Cd3Se4,0.9572,2.36,1.4027999999999998
NaCdAsS3,0.9547000000000001,2.93,1.9753
CdIClO3,0.9533,4.3,3.3467
Mg3AsN,0.9517999999999995,1.33,2.2817999999999996
CsCu2AsS3,0.9467999999999996,2.3,1.3532000000000002
K2ZnTe2,0.9462999999999999,3.0,2.0537
GeSe2,0.9443999999999997,2.3825,1.4381000000000002
K3Th2Cu3S7,0.9430000000000005,2.49,1.5469999999999997
Ba(InSe2)2,0.9429999999999998,2.63,1.687
NaIn3S5,0.9372000000000003,2.18,1.2428
Ba3GeS5,0.9367999999999999,3.0,2.0632
CsCdBO3,0.9338,2.58,1.6462
CdAs2,0.933466666666667,1.0666666666666669,0.1331999999999999
GaGeTe,0.9327999999999999,1.1,0.1672000000000002
Hg8Bi3As4Cl13,0.9301000000000001,2.43,1.4999
LiMgN,0.9293000000000005,3.2,2.2706999999999997
NaAsS2,0.9246999999999999,2.28,1.3553
K6Cd4Sn3Se13,0.9242000000000001,2.33,1.4058
LaZnAsO,0.9239999999999995,1.5,0.5760000000000005
ZnSnP2,0.9232,1.6275,0.7042999999999999
GdScS3,0.9226000000000005,2.1,1.1773999999999996
Ba3Er2(PS4)4,0.9222999999999995,3.3,2.3777000000000004
Cs2Cd3Te4,0.9213000000000002,2.48,1.5586999999999998
CsInHgS3,0.9209999999999996,2.3,1.3790000000000002
Cd4As2I3,0.9204000000000001,2.095,1.1746
Ba3Ho2(PS4)4,0.9201000000000001,3.3,2.3798999999999997
La4Fe(SbS5)2,0.9200999999999997,1.0,0.0799000000000003
SnSe2,0.9182000000000001,1.62,0.7018
Cs4Zr3S14,0.9170999999999996,2.35,1.4329000000000005
SnS2,0.9152000000000005,2.43,1.5147999999999997
Ba4LiGa5Se12,0.9145999999999999,2.65,1.7354
InP,0.9138999999999999,1.3685,0.4546000000000001
Ca4Bi6O13,0.9138000000000002,2.76,1.8461999999999996
Rb3Sb,0.9121999999999999,1.0,0.0878000000000001
SnBr2,0.9113000000000002,3.45,2.5387
P2Se5,0.9088000000000003,2.2,1.2912
BaBClF4,0.9082999999999997,6.89,5.9817
KThCuS3,0.9078000000000004,2.95,2.0422
GaAgTe2,0.9074,1.1,0.1926000000000001
Cs2ZnGe3Se8,0.9072,2.31,1.4028
Ba3Dy2(PS4)4,0.9063999999999992,3.28,2.3736000000000006
La2Zn(SeO)2,0.9041999999999999,3.4,2.4958
Cs2AgBiCl6,0.9037,2.77,1.8663
TlCl,0.900990909090909,3.419090909090909,2.5181
Tb2O3,0.9005999999999998,3.0,3.9006
Tl2PAuS4,0.9005999999999998,2.2,1.2994000000000003
IrSe2,0.8982999999999997,0.95,0.0517000000000003
Pb3Se2(BrO3)2,0.8971000000000005,3.73,2.8328999999999995
Cd4As2Br3,0.8929333333333332,1.8633333333333333,0.9704
Gd4GaSbS9,0.8919999999999999,2.41,1.5180000000000002
BiClO,0.8918999999999997,3.46,2.5681000000000003
TlHg6S4Br5,0.8893,3.03,2.1407
LiH3(SeO3)2,0.8886000000000012,4.9,4.011399999999999
CrO3,0.8885000000000001,1.4,2.2885
As2Rh,0.8874999999999997,1.15,0.2625000000000002
Ba2YInTe5,0.8868000000000003,1.36,0.4731999999999998
POsSe,0.8843000000000001,1.4,0.5156999999999998
GaCuTe2,0.8842000000000002,1.09,0.2057999999999999
LiGaS2,0.8825333333333334,3.8433333333333337,2.9608000000000003
ThSeO,0.8809999999999998,1.65,0.7690000000000001
InAgTe2,0.88,0.945,0.0649999999999999
Na2Zn(GeS3)2,0.8785000000000003,3.145,2.2664999999999997
Si(Bi3O5)4,0.8772000000000011,3.225,2.347799999999999
La2ZrS5,0.8765000000000003,2.01,1.1334999999999995
Ge(Bi3O5)4,0.8738000000000001,3.25,2.3762
TeSe,0.8737999999999992,1.58,0.7062000000000008
SrTaNO2,0.8731999999999995,1.99,1.1168000000000005
RbInTe3O8,0.8730999999999995,3.9,3.0269000000000004
BeTe,0.8727000000000005,2.89,2.0172999999999996
GaSe,0.8721307692307692,2.084230769230769,1.2121
Li3PS4,0.8709000000000002,3.68,2.8091
Nb3CuO8,0.8701999999999994,1.47,0.5998000000000006
Er2Se3,0.8676999999999999,1.66,0.7923
Cs2ZnSn3Se8,0.8646999999999998,2.12,1.2553000000000003
KSnAuSe3,0.8627,2.28,1.4172999999999998
K2NbCuS4,0.8617999999999999,2.82,1.9582
Zn3P2,0.8605999999999998,1.1749999999999998,0.3144
TlCr5S8,0.8605000000000003,1.01,0.1494999999999997
GeAs,0.8587000000000002,1.37,0.5112999999999999
Rb2Cd3Te4,0.8584999999999998,2.3,1.4415
K2Hg(PSe3)2,0.8577999999999999,2.25,1.3922
Zn2InCuSe4,0.8574999999999999,1.1,0.2425000000000001
Ba(InS2)2,0.8557999999999999,3.06,2.2042
YCuO2,0.8530000000000002,3.5,2.647
Li2CdGeS4,0.8528000000000002,3.1,2.2472
RbInS2,0.8506,3.3,2.4494
Si3N4,0.8496999999999995,5.1,4.2503
K4Nb2S11,0.8491333333333333,2.2433333333333336,1.3942000000000003
K6CdTe4,0.8485999999999998,2.51,1.6614
Er2Te3,0.8478999999999999,0.9,0.0521000000000002
CsRb2Sb,0.8474999999999999,1.5,0.6525000000000001
HgPS3,0.8451000000000002,2.6,1.7549
Ca2Bi2O5,0.8443000000000005,3.34,2.4956999999999994
Ca2Sn,0.8440999999999999,0.9,0.0559000000000002
Ca(PrS2)2,0.8429999999999995,2.9,2.0570000000000004
Pb3O4,0.8381000000000003,2.12,1.2818999999999998
VAg(IO4)2,0.8371000000000004,2.24,1.4028999999999998
Cs2AgBiBr6,0.8352999999999999,2.19,1.3547
Na3Zn(BO2)5,0.835,3.2,4.035
Cs2Ti(AgS2)2,0.8346999999999998,2.44,1.6053000000000002
CsInTe3O8,0.8340000000000001,3.9,3.066
BiPbBrO2,0.8310999999999993,2.385,1.5539000000000005
Ba4Ga4SnSe12,0.8308,2.16,1.3292000000000002
PRuS,0.8300999999999994,1.4,0.5699000000000005
Cs2Hg3I8,0.8286000000000002,2.56,1.7313999999999998
Y3GaS6,0.8244999999999996,2.88,2.0555000000000003
B6P,0.8243,3.3,2.4757
TlBr,0.8234499999999998,2.99125,2.1678
Rb2Sn2Hg3S8,0.8230000000000002,2.48,1.6569999999999998
K2Cd3Te4,0.8219999999999998,2.26,1.438
Cd4P2Cl3,0.8214000000000001,2.205,1.3836
BiTeNO6,0.8195000000000001,3.62,2.8005
NaNbSe2O7,0.8182999999999998,3.725,2.9067000000000003
PPdSe,0.8177000000000002,0.15,0.9677000000000002
B3Pb10Br3O13,0.8146000000000004,3.25,2.4353999999999996
TbWClO4,0.8145000000000002,4.24,3.4255
TlHg6Se4Br5,0.8109999999999997,2.8,1.989
Ba2ZnTe3,0.8077999999999999,2.1,1.2922000000000002
CsInTe2,0.8077999999999999,2.16,1.3522000000000003
SbTeOs,0.8076000000000014,0.05,0.8576000000000015
LiSiB6,0.8073000000000001,2.27,1.4627
HgBrCl,0.8065000000000002,3.4,2.5934999999999997
La3CuGeSe7,0.8064,2.0,1.1936
NaY(Te2O5)2,0.8057999999999996,3.9,3.0942000000000003
ScTlTe2,0.8054000000000001,0.85,0.0445999999999999
BaSn2S5,0.8047000000000002,2.35,1.5453
SbPbBrO2,0.8045,2.67,1.8655
P4Os,0.8036000000000003,0.5,1.3036000000000003
AlAgTe2,0.8030999999999997,1.85,1.0469000000000004
ZnAs2,0.8025666666666669,1.0266666666666666,0.2240999999999998
HgSe,0.8015333333333332,0.2416666666666667,1.0432
SnCl2,0.7997999999999998,3.9,3.1002
Na2Ti3O7,0.7996999999999996,3.51,2.7103
GaBi25O39,0.7989999999999995,2.99,2.1910000000000007
PtS2,0.7967000000000004,0.75,1.5467000000000004
K2BaNb2S11,0.7964000000000002,1.77,0.9735999999999998
InSe,0.7954999999999999,1.2545,0.4590000000000001
Cd4P2I3,0.7909999999999999,2.17,1.379
Cd4P2Br3,0.7907000000000002,2.19,1.3992999999999998
GePb2(SeO3)4,0.7904,4.1,3.3095999999999997
Rb2Cd(PSe3)2,0.7883000000000002,2.58,1.7916999999999998
CaTaNO2,0.7878000000000003,2.4,1.6121999999999996
Zn3As2,0.7841888888888893,0.948888888888889,0.1646999999999998
NdCuTeO,0.7839999999999989,2.26,1.4760000000000009
Ag2GeSe3,0.7799,0.905,0.1251
K3NaSn3Se8,0.7788999999999997,2.2,1.4211000000000005
BaAgSbS3,0.7771000000000003,2.2,1.4228999999999998
Ti(Bi3O5)4,0.7770000000000001,3.09,2.3129999999999997
NaBiSe2,0.7756333333333332,0.3166666666666666,1.0922999999999998
La3LuSe6,0.7755000000000003,1.26,0.4844999999999997
MnO2,0.7755000000000003,1.3,0.5244999999999997
CBr4,0.7735000000000003,3.7,2.9265
BaHgS2,0.7730999999999999,1.93,1.1569
BiTeI,0.7725,0.46,1.2325
SrTh(PS4)2,0.7653000000000003,3.02,2.2546999999999997
BaTiO3,0.7650000000000001,3.058,2.2929999999999997
CsTbZnTe3,0.7627000000000002,2.12,1.3573
Ga2Te3,0.7624999999999997,1.4,0.6375000000000002
Li2In2GeSe6,0.7583999999999997,2.3,1.5416
NaSbS2,0.7542999999999995,1.64,0.8857000000000004
Nd2ZrS5,0.7536000000000005,1.83,1.0763999999999996
Rb2Ti(CuS2)2,0.7531999999999996,2.19,1.4368000000000003
NaSbSe2,0.749166666666667,1.3866666666666667,0.6374999999999997
P4Ru,0.7486000000000013,0.51,1.2586000000000013
Dy3GaS6,0.7485000000000004,2.81,2.0614999999999997
SiSe2,0.7471000000000003,1.7299999999999998,2.4771
Sr5V3O12F,0.7364999999999999,4.5,3.7635
Ba2ErGaTe5,0.7310999999999996,1.15,0.4189000000000002
LiNbO3,0.7308666666666661,4.066666666666666,3.3358000000000003
Ba2HgS5,0.7306999999999997,2.4,1.6693000000000002
Rb2Ti(AgS2)2,0.7306000000000001,2.33,1.5994
HgI,0.7273999999999996,2.37,1.6426000000000005
CdSiP2,0.7259666666666669,2.151666666666667,1.4257
Ba2In2Se5,0.7255,2.12,1.3945
Ag2SnSe3,0.7247333333333331,0.7833333333333333,0.0586000000000002
Li2In2SiSe6,0.7241,2.54,1.8159
SbOsSe,0.723400000000001,0.4,1.123400000000001
CoPS,0.7231,0.4,1.1231
LiGaTe2,0.7214999999999998,2.31,1.5885000000000002
SmBiW2O9,0.7210999999999999,3.39,2.6689000000000003
Ba2DyGaTe5,0.7182,1.13,0.4117999999999999
ErBiW2O9,0.7166000000000001,3.26,2.5433999999999997
Na4Mg(GeSe3)2,0.7078999999999998,2.53,1.8221
Na2TeSe3,0.7068999999999999,1.91,1.2031
ZnSiP2,0.7058999999999995,2.07,1.3641000000000003
Rb2Hg3(GeS4)2,0.7058,2.8,2.0942
Ba2NdInTe5,0.7037000000000004,1.37,0.6662999999999997
Ba2GaSbSe5,0.7032999999999998,2.51,1.8067
AgAsS2,0.7032000000000003,2.2,1.4968
Cd4Sb2I3,0.6987999999999999,1.83,1.1312000000000002
B2Se2O7,0.6981999999999995,4.64,3.9418
Na3Sb,0.6954,1.09,0.3946
BiBrO,0.6949000000000001,2.92,2.2251
BPb7Br3O7,0.6946000000000001,2.62,1.9254
SnI2,0.6938999999999997,2.4,1.7061000000000002
Nd2O3,0.6920000000000002,4.4,3.708
RbH3(SeO3)2,0.6895999999999995,4.84,4.1504
GaCuO2,0.6887000000000001,1.47,0.7812999999999999
Ba2GaSbTe5,0.6871999999999999,1.66,0.9728
RuSe2,0.6862000000000004,1.0,0.3137999999999996
Ba2DyGaSe5,0.6828000000000001,2.35,1.6672
LiAlB14,0.6823000000000001,1.935,1.2527
Cu2SnSe3,0.6792000000000001,0.7649999999999999,0.0857999999999998
KY(TeO3)2,0.6748999999999996,3.8,3.1251
BH(PbO2)2,0.6745999999999999,3.76,3.0854
TiS3,0.6738999999999994,0.9,0.2261000000000006
Cd2InCuTe4,0.6734000000000004,0.85,0.1765999999999996
LiMgAs,0.6722999999999997,0.7,1.3722999999999996
Ba3Cd(SnS4)2,0.6708999999999996,2.75,2.0791000000000004
VO,0.6700999999999997,0.3,0.9700999999999996
Na2Ga2GeS6,0.6684999999999999,3.29,2.6215
PbBr2,0.6673000000000004,3.31,2.6426999999999996
CuSbS2,0.6673000000000002,1.39,0.7226999999999997
TaNO,0.6662000000000001,2.5999999999999996,1.9337999999999995
Rb2NbCuS4,0.6651,2.64,1.9749
TeI4,0.6639000000000002,1.1,1.7639000000000002
GaTe,0.6634,1.6700000000000002,1.0066000000000002
InS,0.6629499999999995,2.01375,1.3508000000000004
KPSe3,0.6618000000000002,2.08,1.4182
Ba2SnSe5,0.6616,1.8,1.1384
KCu2SbS3,0.6611,1.615,0.9539
Bi2O3,0.6605000000000003,2.855,2.1944999999999997
BaGa2SiS6,0.6593,3.75,3.0907
Ba2GaS4,0.6582999999999999,2.55,1.8917
Ba2YGaTe5,0.6577999999999999,1.08,0.4222000000000001
K2Au(IO3)5,0.6573,2.65,1.9927
Li3ScN2,0.6559000000000004,2.9,2.2440999999999995
HgCl,0.6556999999999995,3.3800000000000003,2.724300000000001
Gd(CuS)3,0.6526999999999993,1.62,0.9673000000000008
Cd(InSe2)2,0.6516000000000001,1.608,0.9564
Na2Cd(GeS3)2,0.6514999999999995,2.8899999999999997,2.2385
CdTeO3,0.6507000000000001,3.73,3.0793
InCuGeSe4,0.6506999999999998,1.3,0.6493000000000002
CdGeAs2,0.6503888888888888,0.6588888888888889,0.0085000000000001
Ba2YGaSe5,0.6484000000000001,2.31,1.6616
Zn2TeMoO7,0.6480999999999995,4.1,3.4519
KSnAuS3,0.6471999999999998,2.3,1.6528
CdP2,0.6469,2.1025,1.4556
GaCuGeSe4,0.6464999999999996,1.38,0.7335000000000003
InPS4,0.6445999999999996,3.12,2.4754000000000005
Ba2DyInTe5,0.6428999999999996,1.35,0.7071000000000005
Sr4Te3(ClO2)4,0.6425999999999998,4.0,3.3574
La6Sb4(SO4)3,0.6421000000000006,2.6,1.9578999999999995
GePbS3,0.6421000000000001,2.4,1.7578999999999998
Ba5(GaSe4)2,0.6398999999999997,2.51,1.8701
K2Ge2PbS6,0.6387000000000005,2.85,2.2112999999999996
Ca(NdS2)2,0.6387000000000005,2.7,2.0612999999999997
Zn3(PS4)2,0.6386000000000003,3.07,2.4313999999999996
LiBi3(ClO2)2,0.6365000000000003,3.35,2.7135
Ba2SnSe4,0.6354000000000004,1.9,1.2645999999999995
K2In2P3Se10,0.6325000000000003,2.2,1.5675
KAu(IO3)4,0.6318999999999999,2.75,2.1181
Rb4Ge(PSe3)4,0.6313,2.0,1.3687
KBaAsSe3,0.6300999999999999,2.26,1.6299
CsAg5Te3,0.6299000000000003,0.65,0.0200999999999997
P2Rh,0.6295000000000002,1.0,0.3704999999999998
Ca(BiO2)2,0.6293000000000002,3.08,2.4507
B3Pb3NO10,0.6271,3.64,3.0129
Gd2Te3,0.6270000000000004,0.74,0.1129999999999995
Ba2GaSe4,0.6257999999999999,1.63,1.0042
KTiPO5,0.6257999999999999,3.67,3.0442
Nd4(GeS4)3,0.6247000000000009,2.62,1.9952999999999992
KCu2BiS3,0.6213999999999995,1.29,0.6686000000000005
CsH3(SeO3)2,0.6182999999999996,4.77,4.1517
Cs4Ge(PSe3)4,0.6162000000000001,2.0,1.3838
Ba2InAgS4,0.6146000000000003,2.32,1.7053999999999996
Sr(LaS2)2,0.6142000000000003,2.85,2.2358
KUClO3,0.6117000000000004,2.37,1.7582999999999998
KCu4AsS4,0.6114999999999995,1.9,1.2885000000000004
CsGeI3,0.6094999999999999,1.6,0.9905000000000002
Sc(CuSe)3,0.6079000000000006,0.3,0.9079000000000006
K2Cd2Te3,0.6075999999999999,1.93,1.3224
Rb2VCuS4,0.6061000000000001,1.85,1.2439
ZnAs,0.6047000000000003,0.9,0.2952999999999997
Sr(PrS2)2,0.6045000000000003,2.7,2.0955
BiI3,0.6034714285714287,1.9314285714285713,2.5349
KH3(SeO3)2,0.6032666666666664,4.9366666666666665,4.3334
K4Ge(PSe3)4,0.6013999999999999,2.0,1.3986
Ba2ErInTe5,0.6008999999999998,1.35,0.7491000000000003
Nd10Se14O,0.5964999999999998,1.98,1.3835000000000002
BaGa2GeSe6,0.5964,2.515,1.9186
Pb2O3,0.5951000000000004,1.67,1.0748999999999995
Ba3InS4Cl,0.5943,3.42,2.8257
SiB3,0.5919999999999996,2.0,1.4080000000000004
CsSb(SO4)2,0.5902999999999992,4.68,4.089700000000001
Nb2Tl4S11,0.5879000000000001,1.8,1.2121
H7Se2NO6,0.5877999999999997,4.81,4.2222
K2VCuS4,0.5857000000000001,1.82,1.2343
CuP2,0.5854333333333326,1.4533333333333331,0.8679000000000006
GaS,0.582553846153846,2.586153846153846,2.0036
Ba12In4S19,0.5820000000000001,2.56,1.978
BaLa2Te5O14,0.5817000000000001,3.81,3.2283
ScTlS2,0.5768999999999996,1.51,0.9331000000000004
CdHg6(As2Br3)2,0.5736000000000001,1.915,1.3414
FeBi25O39,0.5720999999999998,2.8,2.2279
Cs2MgGe3Se8,0.5713000000000001,2.04,1.4687
SnGeS3,0.5709,2.23,1.6591
Ag8GeS6,0.5697999999999996,1.18,0.6102000000000003
Na2CdSnS4,0.569,2.52,1.951
CsSbSe2,0.5688,1.7,1.1312
CsBi3Se5,0.5687999999999995,0.43,0.9987999999999996
CsGaS3,0.5687000000000002,3.0,2.4313
Sm2ZrSe5,0.5674999999999997,1.41,0.8425000000000002
Na2TeS3,0.5672000000000001,2.35,1.7828
LiMoIO6,0.5665999999999998,2.8,2.2334
RbV(CuS2)2,0.5664,1.45,0.8835999999999999
RbTbSe2,0.5664,2.5,1.9336
Li2PtO3,0.5659999999999998,2.3,1.734
TlSe,0.5658461538461539,0.7638461538461538,0.1979999999999999
NaAsSe2,0.5656999999999999,1.595,1.0293
In2HgTe4,0.5638333333333332,1.0933333333333333,0.5295000000000001
Ba2SmGaSe5,0.5619999999999998,2.27,1.7080000000000002
RbH2(IO3)3,0.561700000000001,4.07,3.5082999999999993
NaH3(SeO3)2,0.5605000000000002,4.9,4.3395
CuBi(PSe3)2,0.5600999999999996,1.2,0.6399000000000004
Li2ZnSnS4,0.5563000000000002,2.87,2.3137
LaF3,0.5551999999999992,6.6,6.0448
Cs2NbCuSe4,0.5549000000000002,2.19,1.6350999999999998
TlS,0.5548000000000002,1.3650000000000002,0.8102
Ca(LaS2)2,0.5545,2.7,2.1455
AgSbS2,0.551733333333333,1.9233333333333331,1.3716000000000002
K2In3CuSe6,0.5515999999999999,1.68,1.1284
CuSbSe2,0.5514000000000003,1.05,0.4985999999999997
Tm2O3,0.5513000000000003,4.53,3.9787
Al2Te3,0.5507999999999997,2.35,1.7992000000000004
Rb2NbCuSe4,0.5506000000000004,2.19,1.6393999999999995
Sb5IO7,0.5497000000000003,1.95,2.4997000000000003
AgTe,0.5488999999999997,0.79,0.2411000000000003
K2VAgS4,0.5450000000000006,1.85,1.3049999999999995
P2Pd3S8,0.5421,2.12,1.5779
CuSbPbS3,0.5402,1.31,0.7698
As2Pt,0.5381666666666667,0.6166666666666667,0.0785
Rb4Ti3S14,0.5359,1.59,1.0541
Tl2Hg3Se4,0.5343000000000002,1.57,1.0356999999999998
Ag3SbS3,0.5341333333333333,2.0483333333333333,1.5142
LiAsS2,0.5335999999999999,1.6,1.0664000000000002
BaBiClO2,0.5326000000000004,3.71,3.1773999999999996
BiIO,0.5319999999999998,2.005,1.473
TePb3Cl4O3,0.5301,3.79,3.2599
Cs3Bi2I9,0.5295999999999998,1.85,2.3796
In6S7,0.5280666666666667,0.8466666666666667,0.3186
AsBr3,0.5271000000000003,2.6,3.1271000000000004
TePb,0.5268555555555559,0.2794444444444444,0.8063000000000002
Mg2GeSe4,0.5262000000000002,2.02,1.4937999999999998
AsSeI,0.5254999999999999,1.76,1.2345000000000002
Cs2Th(PS3)3,0.5247000000000002,2.8,2.2752999999999997
K2NbCuSe4,0.5236000000000001,2.14,1.6164
Ba2NdGaSe5,0.5226,2.18,1.6574000000000002
KBiS2,0.5224666666666667,0.8933333333333334,1.4158000000000002
GeI2,0.5217,1.5,2.0217
NaLa2TaO6,0.5207999999999999,4.5,3.9792
K3Sm(AsS4)2,0.5205,2.2,1.6795000000000002
CuBiSeO,0.5193999999999998,0.82,0.3006000000000002
PtSe2,0.5193,0.1,0.6193
Ho(CuTe)3,0.5192000000000003,0.26,0.7792000000000003
Dy4GaSbS9,0.5188000000000001,2.58,2.0612
BaSi2,0.5187000000000002,1.3,0.7812999999999999
AgBi(PS3)2,0.5162000000000004,1.7,1.1837999999999995
Pb2SeN2O9,0.5149999999999997,3.76,3.245
Ti6H2O13,0.5132999999999996,3.4,2.8867000000000003
K2Mo2Se2O11,0.5129999999999999,3.3,2.787
K2RbSb,0.5121,1.2,0.6879
Mg5B3O9F,0.5116000000000005,5.63,5.118399999999999
Mg3Sb2,0.5112000000000001,0.81,1.3212000000000002
Ba2GdGaSe5,0.5105999999999999,1.87,1.3594000000000002
V3As2O9,0.5101000000000002,0.76,1.2701000000000002
TlAsS2,0.508,2.185,1.677
FeAsS,0.5073000000000003,0.23,0.7373000000000003
Rb2Sn3(SbS5)2,0.5045000000000002,2.33,1.8255
RbGaSnSe4,0.5018999999999998,1.88,1.3781
Tb4Al2O9,0.5016999999999996,4.59,4.0883
KZn4(BO3)3,0.5000000000000004,2.32,2.8200000000000003
Ag7AsS6,0.4990000000000001,1.0,0.5009999999999999
Ba3Sb2S7,0.49780000000000024,2.4,1.9021999999999997
Rb2VAgS4,0.49770000000000003,1.83,1.3323
K2ReH9,0.4970000000000008,5.71,5.212999999999999
Cs2Cu2Sb2S5,0.49570000000000025,1.6,1.1042999999999998
In4Se3,0.4945999999999997,0.645,0.1504000000000003
CuBiPbS3,0.4937000000000006,0.12,0.6137000000000006
PbN6,0.4935999999999998,3.0,2.5064
BaGa2SiSe6,0.49060000000000015,2.88,2.3893999999999997
Cs2MgSn3Se8,0.4901,1.92,1.4299
La10Se14O,0.4881000000000002,2.04,1.5518999999999998
CsSmZnSe3,0.4875999999999996,2.53,2.0424
Zn2MoSeO7,0.48690000000000033,4.2,3.7131
DyPO4,0.4866999999999999,6.38,5.8933
LiAsSe2,0.4862666666666666,1.2366666666666666,0.7504
Be3N2,0.48549999999999915,3.8,3.3145000000000007
FeP4,0.48489999999999994,0.32,0.8049
Ba2In2S5,0.4834000000000003,2.47,1.9866
K2Sn3(SbS5)2,0.48339999999999983,2.3,1.8166
Cs2Sn3(SbS5)2,0.4804999999999999,2.34,1.8595
Ba2GaAsSe5,0.48030000000000017,1.39,1.8703
BaGa2GeS6,0.4786999999999999,3.245,2.7663
Hg3Bi2(SCl4)2,0.4785999999999997,3.26,2.7814
CdSb,0.47813529411764744,0.4982352941176471,0.0200999999999997
SnSe,0.476322222222222,0.9922222222222222,0.5159000000000002
CsYCdSe3,0.47450000000000037,2.56,2.0854999999999997
BaGe2,0.4744999999999999,1.0,0.5255000000000001
La2TiCoO6,0.4716,1.02,0.5484
TlInSe2,0.4712636363636361,1.2063636363636363,0.7351000000000002
