,compound,mp
1145,ReS2,1.3202000000000005
903,Mg3Sb2,1.3212000000000002
684,K2Cd2Te3,1.3224
157,Ba4Ga4SnSe12,1.3292000000000002
1098,Rb2VAgS4,1.3323
780,KSb5S8,1.3375
1119,RbBiS2,1.3389999999999995
301,CdHg6(As2Br3)2,1.3414
948,Na2Zn(GeSe3)2,1.3476
273,Cd(GaSe2)2,1.3487
668,InS,1.3508000000000004
422,CsInTe2,1.3522000000000003
1385,WO3,1.3529
410,CsCu2AsS3,1.3532000000000002
356,Cs2AgBiBr6,1.3547
957,NaAsS2,1.3553
441,CsTbZnTe3,1.3573
107,Ba2GdGaSe5,1.3594000000000002
976,NaNb2PS10,1.3602
994,NbCu3Se4,1.3604000000000005
213,Bi2S3,1.3617999999999997
439,CsSmHgSe3,1.3625
1437,ZnSiP2,1.3641000000000003
937,Na2In2GeSe6,1.3672000000000002
1110,Rb4Ge(PSe3)4,1.3687
32,AgSbS2,1.3716000000000002
880,LiMgAs,1.3722999999999996
987,Nb2AgPS10,1.3724999999999996
26,AgI,1.3759
1125,RbGaSnSe4,1.3781
285,Cd4P2I3,1.379
419,CsInHgS3,1.3790000000000002
1173,SbSeI,1.3811000000000004
605,HfHg4(AsCl3)2,1.3812000000000002
997,Nd10Se14O,1.3835000000000002
284,Cd4P2Cl3,1.3836
393,Cs4Ge(PSe3)4,1.3838
879,LiInTe2,1.3847
379,Cs2VAgS4,1.3867
376,Cs2TeI6,1.3877
694,K2Hg(PSe3)2,1.3922
741,K4Nb2S11,1.3942000000000003
111,Ba2In2Se5,1.3945
443,CsYHgSe3,1.3946
482,Dy4Te3S4,1.3965999999999994
738,K4Ge(PSe3)4,1.3986
283,Cd4P2Br3,1.3992999999999998
1401,Zn(GaSe2)2,1.4000999999999997
935,Na2Ge2Se5,1.4023
1402,Zn(InS2)2,1.4023999999999996
686,K2Cd3Se4,1.4027999999999998
380,Cs2ZnGe3Se8,1.4028
1378,VAg(IO4)2,1.4028999999999998
242,Ca(GdS2)2,1.4034
30,AgPd(IO3)3,1.4039000000000006
142,Ba3Gd2(PS4)4,1.4044
743,K6Cd4Sn3Se13,1.4058
1198,SiB3,1.4080000000000004
39,AlAgO2,1.4090999999999996
1082,Rb2Cd3Se4,1.4123
754,KBiS2,1.4158000000000002
786,KSnAuSe3,1.4172999999999998
716,K2Sn2Hg3S8,1.4179
688,K2Ce(PO4)2,1.4179000000000002
776,KPSe3,1.4182
731,K3NaSn3Se8,1.4211000000000005
1056,Pr10Se14O,1.4217999999999995
690,K2Ga3CuSe6,1.4218
753,KBi3S5,1.4227
165,BaAgSbS3,1.4228999999999998
1058,Pr2Se3,1.4255999999999998
313,CdSiP2,1.4257
1201,SiP2,1.4262
1001,Nd2Se3,1.4284999999999997
368,Cs2MgSn3Se8,1.4299
899,Mg3As2,1.431
394,Cs4Zr3S14,1.4329000000000005
388,Cs3Nb9(TeO8)4,1.4336000000000002
1168,SbPbIO2,1.4366000000000003
1097,Rb2Ti(CuS2)2,1.4368000000000003
1172,SbSeBr,1.4377999999999995
687,K2Cd3Te4,1.438
603,GeSe2,1.4381000000000002
1083,Rb2Cd3Te4,1.4415
863,LiCa3As2H,1.4416999999999995
1386,WSe2,1.4465
58,As2Se3,1.4466
960,NaBiS2,1.4468999999999994
1196,SiAs,1.4518999999999995
113,Ba2InBiS5,1.4528999999999996
425,CsLaHgSe3,1.4545
664,InHg7S6Cl5,1.4549000000000003
306,CdP2,1.4556
629,Ho2S3,1.4612999999999996
888,LiSiB6,1.4627
367,Cs2MgGe3Se8,1.4687
225,BiIO,1.473
1354,TlInHgS3,1.4733999999999998
392,Cs4BiAs3Se7,1.4739000000000002
1009,NdCuTeO,1.4760000000000009
861,LiBiS2,1.4793000000000005
770,KInSe2,1.4816
698,K2In3AgSe6,1.4829
895,Mg2GeSe4,1.4937999999999998
181,BaGa4Se7,1.4955999999999998
16,AgAsS2,1.4968
613,Hg8Bi3As4Cl13,1.4999
1415,Zn6S5Cl2,1.5051
901,Mg3N2,1.5099999999999998
868,LiGa(GeSe3)2,1.5103999999999995
428,CsLu7Se11,1.5104999999999995
1350,TlGaSe2,1.5111000000000003
10,Ag3SbS3,1.5142
1242,SnS2,1.5147999999999997
583,Gd4GaSbS9,1.5180000000000002
1275,Ta2Tl4S11,1.5232999999999994
1213,Sm3B(SO)3,1.5301000000000005
670,InSb2S4Br,1.5308000000000002
1139,RbSbSe2,1.5375
823,LaCuSeO,1.5380999999999991
468,CuN3,1.5383
806,La2Se3,1.5389999999999997
844,Li2In2GeSe6,1.5416
194,BaSn2S5,1.5453
1074,PtS2,1.5467000000000004
736,K3Th2Cu3S7,1.5469999999999997
798,La10Se14O,1.5518999999999998
695,K2Hg3(GeS4)2,1.5520999999999998
671,InSb2S4Cl,1.5524999999999998
270,CaTe,1.5535
228,BiPbBrO2,1.5539000000000005
361,Cs2Cd3Te4,1.5586999999999998
697,K2In2P3Se10,1.5675
725,K2Zn(SnSe3)2,1.5684000000000002
708,K2PAuS4,1.5691000000000002
544,Ga2HgS4,1.5714
27,AgN3,1.5714
878,LiInSe2,1.5731
236,BiSeI,1.5764000000000005
403,CsBiS2,1.5773
1024,P2Pd3S8,1.5779
1323,Tl2Hg3S4,1.5797
872,LiGaTe2,1.5885000000000002
197,BaTe,1.593
658,InBi2S4Cl,1.593
748,KAsSe2,1.5959
1390,Y2S3,1.5992000000000002
1096,Rb2Ti(AgS2)2,1.5994
781,KSbS2,1.601
570,GaP,1.6039
378,Cs2Ti(AgS2)2,1.6053000000000002
902,Mg3P2,1.6067999999999998
1421,ZnCu2SiS4,1.6100000000000003
269,CaTaNO2,1.6121999999999996
706,K2NbCuSe4,1.6164
431,CsPSe6,1.6167
1008,NdCuSO,1.6179999999999994
993,NbAg2(PS4)2,1.6183
135,Ba2ZnSe3,1.6214000000000002
1095,Rb2TeI6,1.6225
657,InBi2S4Br,1.6270000000000002
395,CsAg2AsS3,1.6273000000000002
1171,SbSI,1.6276000000000004
8,Ag3AsS3,1.6277999999999997
48,AlP,1.6294000000000004
750,KBaAsSe3,1.6299
421,CsInSe2,1.6302
467,CuI,1.6314999999999995
369,Cs2NbCuSe4,1.6350999999999998
1090,Rb2NbCuSe4,1.6393999999999995
398,CsAsSe2,1.6394
1064,PrCuSO,1.6415999999999995
619,HgI,1.6426000000000005
715,K2Sn(AuS2)2,1.6433
1181,ScAg(PSe3)2,1.6441
406,CsCdBO3,1.6462
785,KSnAuS3,1.6528
1091,Rb2Sn2Hg3S8,1.6569999999999998
117,Ba2NdGaSe5,1.6574000000000002
1234,SnGeS3,1.6591
744,K6CdTe4,1.6614
131,Ba2YGaSe5,1.6616
554,GaAgGeS4,1.662
91,Ba2DyGaSe5,1.6672
822,LaCuSO,1.668499999999999
109,Ba2HgS5,1.6693000000000002
988,Nb2O5,1.6713
95,Ba2ErGaSe5,1.6730999999999998
906,MgCu2SiS4,1.6730999999999998
722,K2Ti(CuS2)2,1.6735000000000002
44,AlCuS2,1.6756000000000002
1339,TlAsS2,1.677
733,K3Sm(AsS4)2,1.6795000000000002
615,HgBr2,1.6827
1331,Tl2TeI6,1.6843999999999997
1435,ZnSi(AgS2)2,1.6859000000000006
86,Ba(InSe2)2,1.687
746,KAg2SbS3,1.6882999999999997
397,CsAgSb4S7,1.6887
235,BiSeBr,1.6912
1427,ZnGeN2,1.6955
112,Ba2InAgS4,1.7053999999999996
1236,SnI2,1.7061000000000002
121,Ba2SmGaSe5,1.7080000000000002
549,Ga2S3,1.7106
1166,SbPb2S2I3,1.7237999999999998
569,GaN,1.7264999999999997
949,Na2Zn(SnS3)2,1.7271
363,Cs2Hg3I8,1.7313999999999998
364,Cs2Hg3S4,1.7324999999999997
847,Li2PtO3,1.734
158,Ba4LiGa5Se12,1.7354
435,CsSbS2,1.7363999999999995
1267,SrSnO3,1.7365
1200,SiP,1.7395
460,CuBS2,1.7424999999999995
720,K2TeI6,1.7449
101,Ba2GaBiSe5,1.7506
801,La2Mn(SeO)2,1.7513000000000003
621,HgPS3,1.7549
599,GePbS3,1.7578999999999998
793,KUClO3,1.7582999999999998
1359,TlN3,1.7584
1269,SrTe,1.7616
1299,TeI4,1.7639000000000002
752,KBaSbSe3,1.7736
374,Cs2Te,1.7740000000000002
1170,SbSBr,1.7767
944,Na2TeS3,1.7828
1081,Rb2Cd3S4,1.7838
685,K2Cd3S4,1.7876
1349,TlGaS2,1.7885
1079,Rb2Cd(PSe3)2,1.7916999999999998
38,Al2Te3,1.7992000000000004
37,Al2Se3,1.8004000000000002
104,Ba2GaSbSe5,1.8067
116,Ba2NdGaS5,1.8105
846,Li2In2SiSe6,1.8159
717,K2Sn3(SbS5)2,1.8166
953,Na4Mg(GeSe3)2,1.8221
1092,Rb2Sn3(SbS5)2,1.8255
971,NaInS2,1.8377
679,K2Ag3Sb3S7,1.8381999999999996
1254,Sr3Ti2O7,1.8404999999999996
259,Ca4Bi6O13,1.8461999999999996
1271,SrTiO3,1.8488
84,Ba(GaSe2)2,1.8578
373,Cs2Sn3(SbS5)2,1.8595
1137,RbPSe6,1.8608
332,CeO2,1.8647
1167,SbPbBrO2,1.8655
357,Cs2AgBiCl6,1.8663
232,BiSI,1.8669
391,Cs3Sb2I9,1.8679
160,Ba5(GaSe4)2,1.8701
99,Ba2GaAsSe5,1.8703
1093,Rb2Te,1.8766
777,KPSe6,1.8828
349,CrB2(PbO2)6,1.8898
103,Ba2GaS4,1.8917
734,K3Ta2AsS11,1.8918
1108,Rb3Ta2AsS11,1.8938
40,AlAgS2,1.8992
151,Ba3Sb2S7,1.9021999999999997
188,BaPd(IO3)4,1.9057999999999995
927,MoO3,1.9098
769,KInS2,1.9107
1252,Sr2TiO4,1.9141999999999997
177,BaGa2GeSe6,1.9186
1278,TaCu3S4,1.9231000000000005
1107,Rb3Sb2I9,1.9237
79,BPb7Br3O7,1.9254
1141,RbTbSe2,1.9336
1280,TaNO,1.9337999999999995
820,La8Sb2S15,1.9357999999999995
192,BaSe,1.9488
1138,RbSbS2,1.9493
932,Na2CdSnS4,1.951
838,Li2CdSnS4,1.9513
1334,Tl3VS4,1.9554
819,La6Sb4(SO4)3,1.9578999999999995
705,K2NbCuS4,1.9582
3,Ag2Mo(I2O7)2,1.9610999999999996
231,BiSCl,1.9636000000000005
66,AsS,1.9674000000000005
1089,Rb2NbCuS4,1.9749
963,NaCdAsS3,1.9753
88,Ba12In4S19,1.978
390,Cs3Sb2Br9,1.9837
110,Ba2In2S5,1.9866
57,As2S3,1.9873
1353,TlHg6Se4Br5,1.989
681,K2Au(IO3)5,1.9927
1005,Nd4(GeS4)3,1.9952999999999992
264,CaMg2N2,1.9968999999999997
740,K4GeSe4,2.0003
1215,Sm4GaSbS9,2.0006
571,GaS,2.0036
546,Ga2O3,2.0077999999999996
159,Ba5(Ga2Se5)2,2.0136000000000003
942,Na2Se,2.0153
206,BeTe,2.0172999999999996
1393,Y6Zn(SiS7)2,2.0178000000000003
979,NaSb(PS3)2,2.0182999999999995
1432,ZnS,2.0195
595,GeI2,2.0217
438,CsSmCdSe3,2.0217
1320,Tl2BiP2S7,2.0248999999999997
527,Fe2B(PO4)3,2.025
943,Na2Te,2.0282
1237,SnI4,2.0284
548,Ga2PbSe4,2.0313
427,CsLu7S11,2.0317999999999996
230,BiSBr,2.032
701,K2La2Ti3O10,2.0397999999999996
790,KThCuS3,2.0422
440,CsSmZnSe3,2.0424
726,K2ZnTe2,2.0537
783,KSiBiS4,2.0549
164,Ba8Sn4S15,2.0554
1391,Y3GaS6,2.0555000000000003
245,Ca(PrS2)2,2.0570000000000004
1314,TiO2,2.0586
481,Dy4GaSbS9,2.0612
244,Ca(NdS2)2,2.0612999999999997
480,Dy3GaS6,2.0614999999999997
1289,Tb4GaSbS9,2.0623000000000005
143,Ba3GeS5,2.0632
871,LiGaSe2,2.0656
267,CaSe,2.0728000000000004
229,BiPbClO2,2.0736999999999997
138,Ba3Cd(SnS4)2,2.0791000000000004
246,Ca(SmS2)2,2.0833999999999997
442,CsYCdSe3,2.0854999999999997
200,BaV2SeO8,2.0881000000000003
187,BaO,2.0906
606,HfHg4(PCl3)2,2.0914
713,K2Se,2.0925
1087,Rb2Hg3(GeS4)2,2.0942
1248,Sr(PrS2)2,2.0955
788,KTaO3,2.0995
1094,Rb2TeBr6,2.101
1247,Sr(NdS2)2,2.1031999999999997
1063,PrBN2,2.1062000000000003
444,CsYZnSe3,2.1117
375,Cs2TeBr6,2.1121
1445,ZrHg4(PCl3)2,2.1134
864,LiCdBO3,2.1155999999999997
749,KAu(IO3)4,2.1181
137,Ba3Bi2TeO9,2.1188
272,Cd(GaS2)2,2.1205
1182,ScAgO2,2.1264000000000003
841,Li2Ga2GeS6,2.1339
1352,TlHg6S4Br5,2.1407
719,K2Te,2.141
1163,SbI3,2.1446000000000005
243,Ca(LaS2)2,2.1455
191,BaS,2.1488
1106,Rb3Sb2Br9,2.149
81,BSbPbS4,2.1522
411,CsErZnSe3,2.1566
1230,Sn3WO6,2.1615
1330,Tl2TeBr6,2.1632
1342,TlBr,2.1678
420,CsInS2,2.1704
352,CrPbO4,2.1744000000000003
1216,Sm4InSbS9,2.1754
678,K10Zn4Sn4S17,2.1803999999999997
936,Na2In2GeS6,2.1906999999999996
561,GaBi25O39,2.1910000000000007
212,Bi2O3,2.1944999999999997
172,BaCdSnS4,2.1963999999999997
85,Ba(InS2)2,2.2042
692,K2Ge2PbS6,2.2112999999999996
1101,Rb3Bi2I9,2.2165
818,La4InSbS9,2.2196
877,LiInS2,2.2212
827,LaGaS3,2.2220000000000004
1152,Sb2O3,2.2239000000000004
222,BiBrO,2.2251
1228,Sn2WO5,2.2257999999999996
535,FeBi25O39,2.2279
1265,SrSe,2.2313
883,LiMoIO6,2.2334
1246,Sr(LaS2)2,2.2358
201,BaZnSO,2.2367
938,Na2In2SiS6,2.2375
60,AsI3,2.2375000000000003
931,Na2Cd(GeS3)2,2.2385
1037,PSe,2.2421
854,Li3ScN2,2.2440999999999995
837,Li2CdGeS4,2.2472
1270,SrTh(PS4)2,2.2546999999999997
614,HgBr,2.2557
714,K2SmP2S7,2.2591
254,Ca2SnS4,2.2605
1076,Rb2AgPS4,2.2636000000000003
601,GeS2,2.2648
947,Na2Zn(GeS3)2,2.2664999999999997
707,K2Nd2Ti3O10,2.2681
882,LiMgN,2.2706999999999997
209,Bi2CO5,2.2747
377,Cs2Th(PS3)3,2.2752999999999997
900,Mg3AsN,2.2817999999999996
1373,V2O5,2.2826000000000004
351,CrO3,2.2885
199,BaTiO3,2.2929999999999997
1016,NiO,2.3008999999999995
547,Ga2PbS4,2.3027999999999995
1309,Ti(Bi3O5)4,2.3129999999999997
851,Li2ZnSnS4,2.3137
912,MgTe,2.3186
1273,Ta2Mn3O8,2.3188000000000004
712,K2S,2.3201
843,Li2In2GeS6,2.3229000000000006
773,KNb3(SeO6)2,2.3298
268,CaSnO3,2.3301
1184,ScCuO2,2.3309
302,CdI2,2.3382
169,BaBSbS4,2.3423000000000003
1193,Si(Bi3O5)4,2.347799999999999
833,LaVI5O16,2.3631
940,Na2Nb4Se4O19,2.3695
154,Ba3Tb2(PS4)4,2.3711
139,Ba3Dy2(PS4)4,2.3736000000000006
589,Ge(Bi3O5)4,2.3762
140,Ba3Er2(PS4)4,2.3777000000000004
385,Cs3Bi2I9,2.3796
144,Ba3Ho2(PS4)4,2.3798999999999997
266,CaS,2.3819
179,BaGa2SiSe6,2.3893999999999997
1335,Tl4CdI6,2.3902000000000005
100,Ba2GaBiS5,2.391
166,BaAl4Se7,2.3933
1374,V2Pb4(Se2O7)3,2.3938000000000006
1135,RbNb3(TeO6)2,2.4033
774,KNb3(TeO6)2,2.4149000000000003
845,Li2In2SiS6,2.4279999999999995
413,CsGaS3,2.4313
1412,Zn3(PS4)2,2.4313999999999996
71,B3Pb10Br3O13,2.4353999999999996
941,Na2S,2.4399
68,B2Mo(PbO2)6,2.4454
1044,PbI2,2.4455
1131,RbInS2,2.4494
241,Ca(BiO2)2,2.4507
255,Ca3(BN2)2,2.4714000000000005
335,Co2Te3O8,2.4752
667,InPS4,2.4754000000000005
75,B6P,2.4757
1202,SiSe2,2.4771
208,Bi2(MoO4)3,2.4798
248,Ca2Bi2O5,2.4956999999999994
808,La2Zn(SeO)2,2.4958
1264,SrS,2.497
1160,Sb5IO7,2.4997000000000003
1045,PbN6,2.5064
1344,TlCl,2.5181
985,NaSm(PS3)2,2.5197
1281,TaTl3S4,2.5325
224,BiI3,2.5349
1159,Sb3IO4,2.5352
918,MnF2,2.5363
1231,SnBr2,2.5387
728,K3Bi2I9,2.5425
492,ErBiW2O9,2.5433999999999997
1253,Sr2V3Se5O18,2.5648999999999997
223,BiClO,2.5681000000000003
910,MgSe,2.5765
180,BaGa4S7,2.5800000000000005
616,HgBrCl,2.5934999999999997
384,Cs3Bi2Br9,2.5995999999999997
1260,SrCrO4,2.6186000000000003
934,Na2Ga2GeS6,2.6215
534,FeBi(SeO3)3,2.6249
908,MgGeN2,2.6358
1042,PbBr2,2.6426999999999996
74,B6As,2.6454000000000004
1394,YCuO2,2.647
198,BaTeMo2O9,2.6494999999999997
989,Nb2Pb2Se4O15,2.6620999999999997
205,BeSe,2.6636999999999995
1219,SmBiW2O9,2.6689000000000003
1375,V2Zn3TeO10,2.6796
271,CaZnSO,2.6853
1377,V3Bi(PbO4)3,2.6886
156,Ba3V2(SeO4)4,2.6965000000000003
1088,Rb2Mo3Se3O16,2.6974
876,LiIn(IO3)4,2.6987
946,Na2Ti3O7,2.7103
739,K4GeS4,2.7133
860,LiBi3(ClO2)2,2.7135
1256,Sr4V2(Se2O7)3,2.7193
617,HgCl,2.724300000000001
1384,VZn2BiO6,2.7248
247,Ca10Ge16(B2O17)3,2.7264
218,Bi5IO7,2.7325000000000004
954,Na4Mg(SiSe3)2,2.7632000000000003
176,BaGa2GeS6,2.7663
939,Na2Mo2Se2O11,2.7771999999999997
611,Hg3Bi2(SCl4)2,2.7814
1410,Zn3(BO3)2,2.7833
704,K2Mo2Se2O11,2.787
1395,YMoClO4,2.7874
238,BiTeNO6,2.8005
853,Li3PS4,2.8091
211,Bi2Mo2Se2O13,2.8105
1100,Rb3Bi2Br9,2.818
796,KZn4(BO3)3,2.8200000000000003
146,Ba3InS4Cl,2.8257
1041,Pb3Se2(BrO3)2,2.8328999999999995
50,AlV(TeO4)2,2.8360999999999996
1133,RbMoPO6,2.8368
289,CdBiClO2,2.8427
767,KIO3,2.8533
290,CdBr2,2.8551
640,In2Se2O7,2.8578
618,HgCl2,2.8686
768,KIn(TeO3)2,2.8719
220,BiBPbO4,2.8773
221,BiBr3,2.8833
1310,Ti6H2O13,2.8867000000000003
1381,VGa(TeO4)2,2.8924
297,CdF2,2.8977000000000004
1140,RbTa3(TeO6)2,2.8998
977,NaNbSe2O7,2.9067000000000003
83,Ba(GaS2)2,2.9073
1430,ZnI2,2.9076000000000004
239,CBr4,2.9265
578,Gd2O3,2.9411000000000005
787,KTa3(TeO6)2,2.9431000000000003
870,LiGaS2,2.9608000000000003
969,NaIn(TeO3)2,2.9873000000000003
643,In4As5(BrO4)3,2.9879999999999995
612,Hg3Bi2(TeCl4)2,3.0056000000000003
72,B3Pb3NO10,3.0129
120,Ba2ScTaO6,3.0173000000000005
968,NaIn(IO3)4,3.0219
1132,RbInTe3O8,3.0269000000000004
73,B4C,3.0415
36,Al2S3,3.0435000000000003
792,KTiPO5,3.0442
1300,TeO2,3.0604
423,CsInTe3O8,3.066
210,Bi2I4O13,3.0737
318,CdTeO3,3.0793
77,BH(PbO2)2,3.0854
178,BaGa2SiS6,3.0907
986,NaY(Te2O5)2,3.0942000000000003
848,Li2TeMoO6,3.0987
1232,SnCl2,3.1002
577,Gd2(MoO4)3,3.1014
795,KY(TeO3)2,3.1251
59,AsBr3,3.1271000000000004
204,BeS,3.1453
631,In2As2Cl2O5,3.1511000000000005
1078,Rb2Cd(IBr)2,3.1710000000000003
1143,RbY(TeO3)2,3.1745
170,BaBiClO2,3.1773999999999996
1049,PbSeO4,3.1922999999999995
869,LiGaO2,3.1981
185,BaLa2Te5O14,3.2283
1039,Pb2SeN2O9,3.245
1302,TePb3Cl4O3,3.2599
129,Ba2V2Te2O11,3.2676000000000003
148,Ba3MgTa2O9,3.2733
1262,SrO,3.2748
1259,SrBiClO2,3.3015
1060,Pr2Te4O11,3.3043
598,GePb2(SeO3)4,3.3095999999999997
202,Be3N2,3.3145000000000007
884,LiNbO3,3.3358000000000003
303,CdIClO3,3.3467
826,LaGaO3,3.3483
153,Ba3Ta2ZnO9,3.3488
1255,Sr4Te3(ClO2)4,3.3574
124,Ba2SmTaO6,3.3634000000000004
1112,Rb4Mo5(PO11)2,3.3712
955,Na5Gd(MoO4)4,3.3896
1290,TbWClO4,3.4255
130,Ba2V2ZnO8,3.4336
1409,Zn2TeMoO7,3.4519
550,Ga2Se2O7,3.4975
1396,YMoO4F,3.5035
1250,Sr2ScSbO6,3.5074
1127,RbH2(IO3)3,3.5082999999999993
445,CsZn2B3O7,3.5131
291,CdCl2,3.5244
890,LiZnBO3,3.5248
1447,ZrO2,3.5322
1266,SrSeO4,3.5358
1285,Tb2(MoO4)3,3.5663
967,NaI,3.5687000000000006
626,Ho2(MoO4)3,3.5751
476,Dy2(MoO4)3,3.5810999999999997
813,La3Mo4O16F,3.6136
265,CaO,3.630100000000001
251,Ca2ScSbO6,3.6318
849,Li2TeWO6,3.640099999999999
226,BiP3(PbO4)3,3.6994
889,LiTaO3,3.7003
999,Nd2O3,3.708
1408,Zn2MoSeO7,3.7131
1102,Rb3Cd(BO2)5,3.7196
145,Ba3In2(PO4)4,3.7254
875,LiIO3,3.7255
590,Ge(SeO3)2,3.728
1257,Sr5V3O12F,3.7635
1251,Sr2SmTaO6,3.7716
227,BiPO4,3.7758
1130,RbI,3.7765
1208,Sm2O3,3.7823
543,Ga2(TeO3)3,3.7831
1043,PbCl2,3.7938999999999994
1121,RbCd(BO2)3,3.8078
729,K3Cd(BO2)5,3.818
1179,Sc2O3,3.8235
804,La2O3,3.8248
190,BaReH9,3.8349
984,NaSc(SeO3)2,3.8413
1086,Rb2GeB4O9,3.8449
766,KI,3.8513
418,CsI,3.8556
693,K2Ge3(BO5)2,3.8683
263,CaI2,3.8971
1287,Tb2O3,3.9006
219,Bi7O5F11,3.9069
632,In2B(PO4)3,3.9141
477,Dy2O3,3.925499999999999
70,B2Se2O7,3.9418
628,Ho2O3,3.9458
127,Ba2TaInO6,3.945899999999999
488,Er2O3,3.9629
911,MgSiN2,3.9662000000000006
1365,Tm2O3,3.9787
974,NaLa2TaO6,3.9792
184,BaIn2(P2O7)2,4.0047999999999995
873,LiH3(SeO3)2,4.011399999999999
607,HfO2,4.0165
892,Lu2O3,4.021100000000001
52,As2O3,4.0339
952,Na3Zn(BO2)5,4.035
47,AlN,4.0467
1012,NdMoO4F,4.0564
430,CsPPbO4,4.0581
1249,Sr2Be2B2O7,4.0798000000000005
1067,PrMoO4F,4.0857
1288,Tb4Al2O9,4.0883
962,NaBr,4.0895
434,CsSb(SO4)2,4.089700000000001
1389,Y2O3,4.097300000000001
437,CsSc(SeO3)2,4.1332
568,GaHSeO4,4.1423000000000005
1114,Rb5Li6(BO2)11,4.1483
1128,RbH3(SeO3)2,4.1504
417,CsH3(SeO3)2,4.1517
1109,Rb3Zn(BO2)5,4.1752
1120,RbBr,4.192
604,H7Se2NO6,4.2222
779,KSb(SO4)2,4.2351
260,Ca5B3O9F,4.236800000000001
405,CsBr,4.2392
358,Cs2Al2B2O7,4.2490000000000006
1194,Si3N4,4.2503
756,KBr,4.3224
90,Ba2Cd(BO2)6,4.3316
765,KH3(SeO3)2,4.3334
966,NaH3(SeO3)2,4.3395
874,LiI,4.3818
1111,Rb4Ge3B6O17,4.401199999999999
1305,ThO2,4.4187
909,MgO,4.4292
163,Ba8Al10B12O41,4.4373
171,BaCaB2O5,4.4673
1080,Rb2Cd3(B4O7)4,4.5081
386,Cs3Li4(BO2)7,4.5217
82,Ba(BO2)2,4.522399999999999
366,Cs2Li3(BO2)5,4.5354
950,Na3MoO4F,4.5355
771,KLiCO3,4.5495
360,Cs2Cd3(B4O7)4,4.5525
1103,Rb3Na(MoO4)2,4.5827
1126,RbGeB3O7,4.5867
680,K2Al2B2O7,4.5949
415,CsGeB3O7,4.5981
359,Cs2Ba3(P2O7)2,4.7249
372,Cs2SiB4O9,4.8121
1122,RbCl,4.8388
751,KBaB5O9,4.8693
980,NaSbF6,4.8892
862,LiBr,4.9350000000000005
930,Na2Be4B4O11,4.983300000000001
409,CsCl,4.9883999999999995
964,NaCl,5.0037
186,BaNaB5O9,5.0076
758,KCl,5.027
904,Mg5B3O9F,5.118399999999999
150,Ba3P3ClO10,5.1465
426,CsLi(B3O5)2,5.2081
711,K2ReH9,5.212999999999999
89,Ba2B6H4O13,5.2372
412,CsF,5.2626
400,CsB3O5,5.304
1031,PH6NO4,5.3544
727,K3B6ClO10,5.3729
775,KP(HO2)2,5.4325
1124,RbF,5.5244
835,Li2B4O7,5.668
1418,ZnB12(H5O12)2,5.783799999999999
486,DyPO4,5.8933
764,KF,5.949400000000001
168,BaBClF4,5.9817
825,LaF3,6.0448
965,NaF,6.204
865,LiCl,6.25
69,B2O3,6.3017
859,LiB3O5,6.3532
175,BaF2,6.6029
907,MgF2,6.824
262,CaF2,7.1157
203,BeO,7.463900000000001
1065,PrF3,7.5968
1010,NdF3,7.6164
867,LiF,8.7161
